	Streptomyces sp. SM17 chromosome, complete genome:252	Streptomyces violascens strain YIM 100212 chromosome, complete genome:253	Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278	Streptomyces albidoflavus, complete sequence:279	Streptomyces sp. FR-008 chromosome, complete genome:280	Streptomyces albidoflavus strain SM254 chromosome, complete genome:281	Streptomyces sampsonii strain KJ40 chromosome, complete genome:282	Streptomyces sp. SM9 1003_9407_348140, whole genome shotgun sequence:283	Streptomyces sp. S5 NODE_1000_length_1770_cov_89.3881_ID_88717, whole genome shotgun sequence:284	Streptomyces sp. N1 Endophyte_N1_0, whole genome shotgun sequence:285	Streptomyces albidoflavus strain NBRC 13083 Scaffold10_1, whole genome shotgun sequence:286	Streptomyces albidoflavus strain CGMCC 4.1681 Scaffold10_1, whole genome shotgun sequence:287	Streptomyces albidoflavus strain FXJ.2339 Scaffold10_1, whole genome shotgun sequence:288	Streptomyces albidoflavus strain Ma24 Scaffold10_1, whole genome shotgun sequence:289	Streptomyces albidoflavus strain CR33 Scaffold10_1, whole genome shotgun sequence:290	Streptomyces albidoflavus strain CR10 Scaffold10_1, whole genome shotgun sequence:291	Streptomyces albidoflavus strain CR25 Scaffold10_1, whole genome shotgun sequence:292	Streptomyces albidoflavus strain Ma1 Scaffold10_1, whole genome shotgun sequence:293	Streptomyces albidoflavus strain CR47 Scaffold10_1, whole genome shotgun sequence:294	Streptomyces albidoflavus strain CR19 Scaffold10_1, whole genome shotgun sequence:295	Streptomyces sp. GF20 chromosome, complete genome:296	Streptomyces sp. FR-008 Scaffold1, whole genome shotgun sequence:297	Streptomyces sp. SID7817 SID7817.c1, whole genome shotgun sequence:298	Streptomyces sp. SID4934 SID4934.c1, whole genome shotgun sequence:299	Streptomyces sp. SID4915 SID4915.c1, whole genome shotgun sequence:300	Streptomyces sp. S-2 utg000001l_segment0_segment0_pilon, whole genome shotgun sequence:301	Streptomyces sp. CAI-21 NODE_101_length_24701_cov_408.986, whole genome shotgun sequence:302	Streptomyces sp. CAI-17 NODE_1001_length_938_cov_921.376, whole genome shotgun sequence:303	Streptomyces albidoflavus strain J1074/R2 chromosome, complete genome:304	Streptomyces sp. CBG9 tig00000001, whole genome shotgun sequence:305	Streptomyces sp. NK08203 1, whole genome shotgun sequence:306	Streptomyces sp. BvitLS-983, whole genome shotgun sequence:307	Streptomyces sp. ScaeMP-6W, whole genome shotgun sequence:308
Streptomyces albidoflavus strain CGMCC 4.1681 Scaffold10_1, whole genome shotgun sequence:287	0.9909689667	0.9911512121	0.9899572194	0.9906197147	0.9887179002	0.9908316171	0.9888242497	0.9897132594	0.9889125777000001	0.9863157521	0.9914425822	1.0	0.9911974754	0.9890300528	0.9868402660000001	0.9864549416	0.9867930722	0.9867193903	0.9865868061	0.9886544619000001	0.989013518	0.9886570787000001	0.9906265968	0.9885285971000001	0.9913298434000001	0.9904689615000001	0.9882131311000001	0.9874704028000001	0.9906669736	0.9884860428000001	0.9888907143000001	0.9913492095	0.9885526614000001
Streptomyces albidoflavus strain FXJ.2339 Scaffold10_1, whole genome shotgun sequence:288	0.9994650938	0.9988569119	0.9905358689	0.9917860717	0.9888566706	0.9911781422	0.9887030129000001	0.9902442725	0.9889556106	0.9864165299000001	0.9923104135	0.9911974754	1.0	0.9887652402	0.9866594335000001	0.9862507015	0.9866563493	0.9867236541000001	0.9865166138	0.9886331358	0.9888445138	0.9887784354	0.9917955956000001	0.9886148832	0.9935820357	0.9908601838000001	0.9883916996000001	0.9877668369	0.9918047472	0.9887802779	0.9887599803	0.9935807244	0.9886259006
Streptomyces albidoflavus strain Ma24 Scaffold10_1, whole genome shotgun sequence:289	0.9887480079000001	0.9888484219	0.9883561987	0.9889699976	0.9896928623000001	0.9890945324	0.9886509361	0.9885650117	0.9897856951	0.9868772252	0.9888155024	0.9890300528	0.9887652402	1.0	0.9868928681	0.9870100262	0.9868714836	0.9870600765	0.9872034538000001	0.9899395666	0.9902219513	0.9896668972	0.9889795920000001	0.9889857189000001	0.9890177711	0.9888580469	0.9886308731000001	0.988261212	0.9889873249000001	0.9903261015	0.9901575286000001	0.9890258973	0.9889835351
Streptomyces albidoflavus strain CR33 Scaffold10_1, whole genome shotgun sequence:290	0.9866328684000001	0.9867327289000001	0.985965344	0.9869007149000001	0.9862366863	0.9867847049	0.9858239588000001	0.9864498255	0.9861078356	0.9920183903	0.9868443975000001	0.9868402660000001	0.9866594335000001	0.9868928681	1.0	0.9920425432000001	0.9999718582	0.9916417581	0.9919913095	0.9870012716000001	0.9862648877	0.9862248920000001	0.9869219565	0.9872301448	0.9867831995	0.9867288093000001	0.9861782101000001	0.9859750752	0.9869249389	0.9868466591	0.9868440694	0.9867981759000001	0.9872255950000001
Streptomyces albidoflavus strain CR10 Scaffold10_1, whole genome shotgun sequence:291	0.9862688468	0.9867203145000001	0.9858856158	0.9866479903	0.9860985713	0.9865832739	0.9856059041	0.9861483494000001	0.9866838698	0.9918982026000001	0.9866575191	0.9864549416	0.9862507015	0.9870100262	0.9920425432000001	1.0	0.9920520996000001	0.9918366590000001	0.991812829	0.9870669367	0.9868436285000001	0.9860177389	0.9866592663	0.9872609003	0.9863683879	0.9865226476000001	0.9860398363	0.9859006833	0.9866674219	0.9865594455000001	0.9869028175000001	0.9864112454	0.9872840835000001
Streptomyces albidoflavus strain CR25 Scaffold10_1, whole genome shotgun sequence:292	0.9866324369	0.9867113647	0.9859676253	0.9868947429	0.9862171084	0.9867495478	0.9858072136	0.9864255916	0.9861197096000001	0.9920001176000001	0.9867983867000001	0.9867930722	0.9866563493	0.9868714836	0.9999718582	0.9920520996000001	1.0	0.9916319819	0.9919609749	0.9870289848	0.9862372598	0.9862030324000001	0.9869076869000001	0.9871843279	0.9868024517	0.9867175304	0.9861555683000001	0.9859770725	0.986913648	0.9868046783000001	0.986809649	0.9868191108000001	0.9871795185000001
Streptomyces albidoflavus strain Ma1 Scaffold10_1, whole genome shotgun sequence:293	0.9867532268	0.9868488681	0.9860446890000001	0.9867566270000001	0.9865240738000001	0.9866309150000001	0.9859709757	0.9864226548	0.9865002497	0.9915871402	0.9867508006000001	0.9867193903	0.9867236541000001	0.9870600765	0.9916417581	0.9918366590000001	0.9916319819	1.0	0.9917707654000001	0.9870910773	0.9865332624	0.9865396639	0.9867628961	0.9875900059	0.9868525912	0.9868578875	0.9863159444	0.9861172457	0.9867548066	0.9869301812000001	0.9868620784000001	0.9868785969	0.9875865594000001
Streptomyces albidoflavus strain CR47 Scaffold10_1, whole genome shotgun sequence:294	0.9864836127000001	0.9868214188000001	0.9860487808	0.9870009894	0.9865211898	0.9867508118	0.9859089190000001	0.9864233133	0.9868426544000001	0.9919743676	0.9869022087	0.9865868061	0.9865166138	0.9872034538000001	0.9919913095	0.991812829	0.9919609749	0.9917707654000001	1.0	0.9871868201	0.9869545092	0.9864694483	0.9869938896	0.9874757049	0.9868050027	0.9868012358	0.9863311164	0.9861727526	0.9869926099	0.9870771243	0.9870508841000001	0.9868300484	0.9874711907
Streptomyces albidoflavus strain CR19 Scaffold10_1, whole genome shotgun sequence:295	0.9886337558	0.9885873583	0.9880929855	0.9887503389000001	0.9893942431	0.9887551758	0.9884725192	0.9882393578	0.9894189465000001	0.9870453814000001	0.9885937320000001	0.9886544619000001	0.9886331358	0.9899395666	0.9870012716000001	0.9870669367	0.9870289848	0.9870910773	0.9871868201	1.0	0.9897287796	0.9893954073000001	0.988726014	0.9887990718	0.988792164	0.9885781347	0.9884248228	0.9882926762	0.9887677123	0.9898693556	0.9896817262000001	0.988816435	0.9887933609
Streptomyces sp. GF20 chromosome, complete genome:296	0.9887879924	0.9889847551000001	0.9881803475000001	0.9889713106	0.9897015578	0.9889352256	0.9887414120000001	0.9884113804	0.9890673931	0.9867294923000001	0.9889029220000001	0.989013518	0.9888445138	0.9902219513	0.9862648877	0.9868436285000001	0.9862372598	0.9865332624	0.9869545092	0.9897287796	1.0	0.9897253512	0.9889270830000001	0.9887202900000001	0.9889190226000001	0.9889160725	0.9884281312000001	0.9882421758000001	0.9889122943	0.9903086279000001	0.9901793928	0.9889399394	0.988715823
Streptomyces sp. FR-008 Scaffold1, whole genome shotgun sequence:297	0.9884642477000001	0.9889798825	0.9883627871	0.9891109427	0.9997102331000001	0.9890075517	0.9896758265000001	0.9883292241	0.9896967596	0.9861505182	0.9889061981	0.9886570787000001	0.9887784354	0.9896668972	0.9862248920000001	0.9860177389	0.9862030324000001	0.9865396639	0.9864694483	0.9893954073000001	0.9897253512	1.0	0.9890993768	0.9886905537	0.9889280555000001	0.9888374456000001	0.9888324098000001	0.9883464434	0.9890995519	0.9892289323000001	0.989478904	0.9889300101	0.9886866611
Streptomyces sp. SID7817 SID7817.c1, whole genome shotgun sequence:298	0.9917102525	0.9917134630000001	0.9903879309	1.0	0.9891330271000001	0.9909516955000001	0.9887296550000001	0.9905003152	0.9891361975	0.9866119171000001	0.9912541321	0.9906265968	0.9917955956000001	0.9889795920000001	0.9869219565	0.9866592663	0.9869076869000001	0.9867628961	0.9869938896	0.988726014	0.9889270830000001	0.9890993768	1.0	0.9889297906000001	0.9916458209000001	0.9908071105	0.9885090635	0.9879516346	0.9999333990000001	0.9890067134	0.988885199	0.9916686599000001	0.9889304561000001
Streptomyces sp. SID4934 SID4934.c1, whole genome shotgun sequence:299	0.9885808069	0.9886647647000001	0.988360228	0.9889297906000001	0.9887453796000001	0.9887100427000001	0.9882535066	0.9880510768	0.9896755181	0.9873049226	0.9887292123	0.9885285971000001	0.9886148832	0.9889857189000001	0.9872301448	0.9872609003	0.9871843279	0.9875900059	0.9874757049	0.9887990718	0.9887202900000001	0.9886905537	0.9889297906000001	1.0	0.9886598027000001	0.9885264311	0.9878514278	0.9876576511	0.9889141847	0.9890813354	0.9890216133	0.9886857803	1.0
Streptomyces sp. SID4915 SID4915.c1, whole genome shotgun sequence:300	0.9932429352000001	0.9934102848	0.9902255956	0.9916458209000001	0.9889598887000001	0.9913912958000001	0.9890452322000001	0.9901420566	0.9890052719	0.9865427257	0.9924317687	0.9913298434000001	0.9935820357	0.9890177711	0.9867831995	0.9863683879	0.9868024517	0.9868525912	0.9868050027	0.988792164	0.9889190226000001	0.9889280555000001	0.9916458209000001	0.9886598027000001	1.0	0.9907751287000001	0.988709766	0.9879925933	0.9916628707	0.98873869	0.9889108683000001	1.0	0.9887010458000001
Streptomyces sp. S-2 utg000001l_segment0_segment0_pilon, whole genome shotgun sequence:301	0.9908760244	0.9909349916	0.9898002204	0.9908071105	0.9888260334000001	0.9905199813000001	0.9890884441000001	0.9904513749	0.9889019050000001	0.9866066841000001	0.9911440298	0.9904689615000001	0.9908601838000001	0.9888580469	0.9867288093000001	0.9865226476000001	0.9867175304	0.9868578875	0.9868012358	0.9885781347	0.9889160725	0.9888374456000001	0.9908071105	0.9885264311	0.9907751287000001	1.0	0.9882713098	0.9875094524	0.9908619280000001	0.9886665537	0.9887957099	0.9907879579000001	0.9885530238
Streptomyces sp. CAI-21 NODE_101_length_24701_cov_408.986, whole genome shotgun sequence:302	0.9884105845000001	0.988449062	0.9878955250000001	0.9885090635	0.9888986922	0.9882762144	0.9884940414000001	0.9880133249	0.9886210110000001	0.9862215453000001	0.9882784143000001	0.9882131311000001	0.9883916996000001	0.9886308731000001	0.9861782101000001	0.9860398363	0.9861555683000001	0.9863159444	0.9863311164	0.9884248228	0.9884281312000001	0.9888324098000001	0.9885090635	0.9878514278	0.988709766	0.9882713098	1.0	0.9933475672000001	0.9885022194	0.9884759188000001	0.9885675118	0.9887080938	0.9878946208
Streptomyces sp. CAI-17 NODE_1001_length_938_cov_921.376, whole genome shotgun sequence:303	0.9878149118	0.9879186676	0.9873176591	0.9879516346	0.9884046538000001	0.9878917336	0.9872742827000001	0.9874759713000001	0.9880597975000001	0.9861720062	0.9877746388	0.9874704028000001	0.9877668369	0.988261212	0.9859750752	0.9859006833	0.9859770725	0.9861172457	0.9861727526	0.9882926762	0.9882421758000001	0.9883464434	0.9879516346	0.9876576511	0.9879925933	0.9875094524	0.9933475672000001	1.0	0.9879703799	0.9881518254	0.9879843165000001	0.9880100229000001	0.9876348134
Streptomyces albidoflavus strain J1074/R2 chromosome, complete genome:304	0.9917051684	0.9917198686	0.9904071407	0.9999333990000001	0.989128435	0.9909472793	0.9887409818	0.9905173147	0.9891329893	0.9866016953000001	0.9912598532	0.9906669736	0.9918047472	0.9889873249000001	0.9869249389	0.9866674219	0.986913648	0.9867548066	0.9869926099	0.9887677123	0.9889122943	0.9890995519	0.9999333990000001	0.9889141847	0.9916628707	0.9908619280000001	0.9885022194	0.9879703799	1.0	0.9890105037	0.9888824336	0.9916682022000001	0.9889356453
Streptomyces sp. CBG9 tig00000001, whole genome shotgun sequence:305	0.9887221729000001	0.9889045028000001	0.9882990840000001	0.9890067134	0.9893199831	0.9889388425000001	0.988702991	0.9882686893	0.9896303269000001	0.9866456337	0.9887860730000001	0.9884860428000001	0.9887802779	0.9903261015	0.9868466591	0.9865594455000001	0.9868046783000001	0.9869301812000001	0.9870771243	0.9898693556	0.9903086279000001	0.9892289323000001	0.9890067134	0.9890813354	0.98873869	0.9886665537	0.9884759188000001	0.9881518254	0.9890105037	1.0	0.9901682703	0.9887444921	0.9890541898
Streptomyces sp. NK08203 1, whole genome shotgun sequence:306	0.9887273316	0.9888512840000001	0.9881641390000001	0.988885199	0.9894847980000001	0.9888115057	0.9887641193000001	0.9885506481	0.9895136317000001	0.9869140969	0.98891974	0.9888907143000001	0.9887599803	0.9901575286000001	0.9868440694	0.9869028175000001	0.986809649	0.9868620784000001	0.9870508841000001	0.9896817262000001	0.9901793928	0.989478904	0.988885199	0.9890216133	0.9889108683000001	0.9887957099	0.9885675118	0.9879843165000001	0.9888824336	0.9901682703	1.0	0.98891836	0.9890206607
Streptomyces sp. BvitLS-983, whole genome shotgun sequence:307	0.993238554	0.9934042273	0.9902436394	0.9916686599000001	0.9889622789	0.9914123277	0.9890654342	0.9901753136	0.9890495967	0.986556984	0.9924647691	0.9913492095	0.9935807244	0.9890258973	0.9867981759000001	0.9864112454	0.9868191108000001	0.9868785969	0.9868300484	0.988816435	0.9889399394	0.9889300101	0.9916686599000001	0.9886857803	1.0	0.9907879579000001	0.9887080938	0.9880100229000001	0.9916682022000001	0.9887444921	0.98891836	1.0	0.9887074209000001
Streptomyces sp. ScaeMP-6W, whole genome shotgun sequence:308	0.9885919823	0.9886653224	0.9883830168000001	0.9889304561000001	0.9887390362	0.988719392	0.988250551	0.9880657196	0.9897050224	0.9873124476	0.9887428326000001	0.9885526614000001	0.9886259006	0.9889835351	0.9872255950000001	0.9872840835000001	0.9871795185000001	0.9875865594000001	0.9874711907	0.9887933609	0.988715823	0.9886866611	0.9889304561000001	1.0	0.9887010458000001	0.9885530238	0.9878946208	0.9876348134	0.9889356453	0.9890541898	0.9890206607	0.9887074209000001	1.0
