	Streptomyces lavendulae subsp. lavendulae strain NRRL WC-3542 contig1.1, whole genome shotgun sequence:704	Streptomyces sp. NRRL B-1322 contig1.1, whole genome shotgun sequence:705	Streptomyces sp. NRRL S-98 contig1.1, whole genome shotgun sequence:706	Streptomyces virginiae strain NRRL ISP-5094 contig1.1, whole genome shotgun sequence:707	Streptomyces sp. NRRL S-104 contig1.1, whole genome shotgun sequence:708	Streptomyces sp. WM6349 P397contig1.1, whole genome shotgun sequence:709	Streptomyces sp. XY511 P413contig1.1, whole genome shotgun sequence:710	Streptomyces sp. H021 P429contig1.1, whole genome shotgun sequence:711	Streptomyces sp. WM6373 P401contig1.1, whole genome shotgun sequence:712	Streptomyces sp. XY413 P411contig1.1, whole genome shotgun sequence:713	Streptomyces sp. XY37 P410contig1.1, whole genome shotgun sequence:714	Streptomyces sp. XY533 P414contig1.1, whole genome shotgun sequence:715	Streptomyces sp. XY58 P415contig1.1, whole genome shotgun sequence:716	Streptomyces sp. XY593 P416contig1.1, whole genome shotgun sequence:717	Streptomyces sp. XY66 P418contig1.1, whole genome shotgun sequence:718	Streptomyces sp. H036 P430contig1.1, whole genome shotgun sequence:719	Streptomyces sp. IGB124 P428contig1.1, whole genome shotgun sequence:720	Streptomyces sp. MMG1064 P431contig1.1, whole genome shotgun sequence:721	Streptomyces sp. WAC05950 strain WAC5950 substr. delta orf15 pCRISPomyces AA000328-100_WAC05950, whole genome shotgun sequence:722	Streptomyces sp. INR7 chromosome, complete genome:723	Streptomyces cinnamonensis strain JCM 4019 sequence001, whole genome shotgun sequence:724	Streptomyces cinnamonensis strain NBRC 15873 sequence01, whole genome shotgun sequence:725	Streptomyces cinnamonensis strain DSM 40803 Ga0451095_01, whole genome shotgun sequence:726
Streptomyces sp. XY37 P410contig1.1, whole genome shotgun sequence:714	0.9094337261000001	0.9091464537	0.9734724005000001	0.9720640172	0.9689831711	0.8281925768	0.8749334279000001	0.9570030163000001	0.9545968492	0.956789372	1.0	0.9070135697	1.0036968681	0.9103937141	0.955730845	0.9095180303	0.9586418556	1.0128705642	0.772045242	0.905549229	0.9092145597	0.9082157942	0.9086526544
Streptomyces sp. XY533 P414contig1.1, whole genome shotgun sequence:715	0.9646892703000001	0.9646379306	0.8996552629000001	0.9064429769000001	0.8967353016	0.8774535551	0.9209190847000001	0.8930870412	0.8952940449000001	0.8931505817000001	0.8928650121	1.0	0.8929208214000001	0.9665051258	0.8960363567	0.964597946	0.8931083019	0.8935792985000001	0.8061466803	0.970572439	0.9682715743	0.9677724315	0.9684363446
Streptomyces sp. XY58 P415contig1.1, whole genome shotgun sequence:716	0.9088228561	0.9086941442	0.9736055885	0.9711506057	0.9691721517	0.8278286894	0.8749570142	0.9574987939	0.9548251975000001	0.9573305351	1.0045405329	0.907832708	1.0	0.9102869538	0.9573207097	0.9094497125000001	0.9578533657	1.0201990465	0.7731710876	0.9050687184	0.9085716960000001	0.9070865966	0.9080211087000001
Streptomyces sp. XY593 P416contig1.1, whole genome shotgun sequence:717	0.9577584543000001	0.9576945922000001	0.9013750521	0.8983205945	0.8988571803000001	0.8743695417	0.9207006634	0.8877275268	0.8863252012	0.8882455061000001	0.8905707112000001	0.9604423436	0.8897184161	1.0	0.8903773242	0.9611136160000001	0.8881513935	0.8906630232	0.8041775184000001	0.9623093500000001	0.9590881547000001	0.9585465271	0.9594083055
Streptomyces sp. XY66 P418contig1.1, whole genome shotgun sequence:718	0.8679986970000001	0.8680215547000001	0.9064742071	0.9136405105000001	0.9030460189	0.7896533563	0.8351727932	0.9275770343	0.9397317114	0.9356612801	0.9129380168000001	0.869479408	0.9136886876	0.8694420151000001	1.0	0.8847228069	0.9361358999999999	0.9151057486	0.7402538519	0.8669977636	0.8700962146000001	0.8690324517	0.870410596
Streptomyces sp. H036 P430contig1.1, whole genome shotgun sequence:719	0.9370619987000001	0.9369011307	0.8642216281	0.8662452939	0.8618144075	0.8855580338	0.8850707906	0.8566639647000001	0.8567137212	0.8620253800000001	0.8596308016	0.9261364302	0.8588443231	0.9286161399	0.8753912241	1.0	0.8592530460000001	0.8599649477	0.77533285	0.9286313336	0.9404547240000001	0.9392312227	0.9408399025
Streptomyces sp. IGB124 P428contig1.1, whole genome shotgun sequence:720	0.8761580268	0.8760950493	0.9159587333	0.9205707967000001	0.91319567	0.7995628105	0.845702065	0.9451615497	0.9475960863	0.9648676927000001	0.9265198568	0.8768603859	0.9249802884	0.8774981071	0.9471778968000001	0.8786557781000001	1.0	0.9263883275	0.7458337603	0.8734606688000001	0.8786171139000001	0.8784963774000001	0.8788437617
Streptomyces sp. MMG1064 P431contig1.1, whole genome shotgun sequence:721	0.9114509938	0.9112898245000001	0.9759021114	0.9733326296	0.9713867869	0.8302286710000001	0.8773911191	0.9603758468	0.9582210992	0.9603571463	1.0154827119	0.9100801934	1.0219710688	0.9128361887	0.9604708260000001	0.9122180860000001	0.9609777097000001	1.0	0.7746410046000001	0.9075754254	0.911295853	0.9102962341	0.9108973588
Streptomyces sp. WAC05950 strain WAC5950 substr. delta orf15 pCRISPomyces AA000328-100_WAC05950, whole genome shotgun sequence:722	0.9700378885000001	0.9685530317000001	0.9215620250000001	0.9264268195	0.9194349261	0.9745009171000001	0.9346572601	0.9148003996	0.9170313306000001	0.9183793974000001	0.9174908458000001	0.9731976206	0.9180571097	0.9769486995000001	0.9209455951000001	0.9748695792000001	0.9170704134000001	0.9182076078	1.0	0.9705582154000001	0.9744786048	0.9709701896	0.9745716454000001
Streptomyces sp. INR7 chromosome, complete genome:723	0.9633650232000001	0.9631638418	0.8939395105	0.8978363498	0.8910447327000001	0.8783409764000001	0.9142620834	0.8847630397	0.8870330012000001	0.8869392607000001	0.8868539329	0.9655971280000001	0.8856389122	0.9634198253	0.8888987971000001	0.9622384551000001	0.8850851224	0.8865519203000001	0.7998391029	1.0	0.9660804923	0.9722963266	0.9704102203
Streptomyces cinnamonensis strain JCM 4019 sequence001, whole genome shotgun sequence:724	0.9481406256	0.9478401566	0.8724938116000001	0.8777395968	0.8702159193000001	0.8655293533	0.8990220344000001	0.8647499387	0.8680174802	0.8687963089	0.8682714257	0.9393215565	0.8669288075	0.9362859293	0.8698627159000001	0.9502248068	0.8681413474	0.8680204099000001	0.7830733546	0.9420249570000001	1.0	1.0060316451	1.0038527763
Streptomyces cinnamonensis strain NBRC 15873 sequence01, whole genome shotgun sequence:725	0.9206915813000001	0.9217253659	0.8463258563	0.8509648637	0.8443746434	0.8383340156	0.8716797959	0.8392085639	0.8411258823000001	0.8422966101	0.8418030914	0.9112188433	0.8400503551	0.9082292961	0.8432411086	0.9210714735000001	0.8424867837000001	0.8415610523	0.7573007269	0.9201954466000001	0.9764364448	1.0	0.9789720548
Streptomyces cinnamonensis strain DSM 40803 Ga0451095_01, whole genome shotgun sequence:726	0.9437438495	0.9448232871000001	0.8671537312	0.8721300187000001	0.8649997462000001	0.8602910185	0.8928590390000001	0.8596767253	0.8625001921000001	0.8634458497	0.8621371583	0.9334209054	0.8608143787	0.9305565711	0.8645635933	0.9444816767	0.8627635604	0.8620437802	0.7780961148000001	0.9401427359000001	0.9973770284000001	1.0021374517	1.0
