	Streptomyces clavuligerus strain ATCC 27064 chromosome, complete genome:462	Streptomyces clavuligerus strain ATCC 27064 isolate Leon-isolate chromosome, complete genome:463	Streptomyces clavuligerus strain F1D1 chromosome, complete genome:464	Streptomyces clavuligerus strain F1D4 chromosome, complete genome:465	Streptomyces clavuligerus strain F1D7 chromosome, complete genome:466	Streptomyces clavuligerus strain F1D10 chromosome, complete genome:467	Streptomyces clavuligerus strain F1D14 chromosome, complete genome:468	Streptomyces clavuligerus strain F1D18 chromosome, complete genome:469	Streptomyces clavuligerus strain F1D26 chromosome, complete genome:470	Streptomyces clavuligerus strain F1D31 chromosome, complete genome:471	Streptomyces clavuligerus strain F1D35 chromosome, complete genome:472	Streptomyces clavuligerus strain F1D28 chromosome, complete genome:473	Streptomyces clavuligerus strain ATCC 27064 chromosome, whole genome shotgun sequence:621	Streptomyces clavuligerus strain ATCC 27064 chromosome, whole genome shotgun sequence:622	Streptomyces clavuligerus strain F613-1 chromosome, complete genome:623	Streptomyces clavuligerus strain F1D-5 chromosome, complete genome:624	Streptomyces clavuligerus strain ATCC 27064 NODE_1000_length_2399_cov_26.658, whole genome shotgun sequence:625	Streptomyces clavuligerus strain NCIMB 14335 NODE_1000_length_2633_cov_19.002, whole genome shotgun sequence:626	Streptomyces clavuligerus strain BW0219 NODE_1000_length_1001_cov_31.2563, whole genome shotgun sequence:627	Streptomyces clavuligerus strain BW0220 NODE_1000_length_1140_cov_9.13031, whole genome shotgun sequence:628	Streptomyces clavuligerus strain DSM 738 NODE_1000_length_2512_cov_26.8931, whole genome shotgun sequence:629	Streptomyces clavuligerus strain NRRL 3585 NODE_1000_length_2792_cov_16.179, whole genome shotgun sequence:630	Streptomyces clavuligerus strain ATCC 27064 NODE_1000_length_2322_cov_195.525, whole genome shotgun sequence:631	Streptomyces clavuligerus strain NCIMB 12785 NODE_1000_length_2602_cov_29.5063, whole genome shotgun sequence:632	Streptomyces clavuligerus strain BW0218 NODE_1000_length_1065_cov_21.6876, whole genome shotgun sequence:633	Streptomyces clavuligerus strain BW0217 NODE_1000_length_1270_cov_13.0604, whole genome shotgun sequence:634	Streptomyces clavuligerus strain BW0216 NODE_1000_length_953_cov_5.89225, whole genome shotgun sequence:635
Streptomyces clavuligerus strain F1D35 chromosome, complete genome:472	0.9998735704	0.9998700162	0.9999703525	0.9999376299	0.999980877	0.9999454746	0.9999513684	0.9999596214	0.9999581492	0.9998963726000001	1.0	0.9999635506000001	0.9998409418	0.9998253446	0.9999433538	0.9994858911000001	0.9997877961	0.9997479487	0.9998507715	0.9997742149000001	0.9997818455	0.9997727622	0.999657722	0.9997235599000001	0.9998058311	0.9997480671000001	0.9998350116
Streptomyces clavuligerus strain F1D28 chromosome, complete genome:473	0.9998827727	0.9998790141	0.9999681477000001	0.9999559771000001	0.9999732923	0.9999832442000001	0.999967377	0.9999805727000001	0.9999854939	0.9999546114000001	0.9999635506000001	1.0	0.9998510732	0.9998327164	0.9999508274000001	0.9994971786000001	0.9998116782	0.9997772935	0.999850306	0.9997859694000001	0.9998115408	0.9997950718	0.999665321	0.9997467783	0.9998062952000001	0.9997490311	0.9998356385
Streptomyces clavuligerus strain ATCC 27064 chromosome, whole genome shotgun sequence:621	0.9999533359	0.9999438812	0.9998598796	0.9998336183000001	0.9998663552	0.9998486968	0.9998376315	0.9998488892	0.9998569391000001	0.9997952205	0.9998409418	0.9998510732	1.0	0.9999180412	0.9998585674	0.9993486743000001	0.9998575264	0.9997552808000001	0.9998848836	0.9998287595	0.9997957879	0.9997744561	0.9996960478	0.9998001889	0.9998383346	0.9997964216	0.9998448065000001
Streptomyces clavuligerus strain ATCC 27064 chromosome, whole genome shotgun sequence:622	0.9999420596	0.9999479314	0.9998425054000001	0.9998238335	0.9998486393	0.9998290066000001	0.9998319758	0.9998283048000001	0.9998367097	0.9997952229	0.9998253446	0.9998327164	0.9999180412	1.0	0.9998501223	0.9991979094000001	0.9998708949	0.99971782	0.9998614605	0.9997999755	0.9997617723000001	0.9997838224000001	0.9997102781	0.9997930399	0.9998077965000001	0.999753192	0.9998457494
Streptomyces clavuligerus strain F613-1 chromosome, complete genome:623	0.9998872447	0.999885313	0.9999615627	0.9999310135	0.9999712744	0.9999540559000001	0.9999398538000001	0.9999538830000001	0.9999587098	0.9999002671	0.9999433538	0.9999508274000001	0.9998585674	0.9998501223	1.0	0.9995303561000001	0.9998126604	0.9997740687000001	0.9998501463	0.9997787619	0.9998036638000001	0.9998005125	0.9996795469	0.999745736	0.9998061324	0.9997469143000001	0.999833603
Streptomyces clavuligerus strain F1D-5 chromosome, complete genome:624	0.9994293043	0.9994453120000001	0.999587981	0.9994317297	0.9995395809000001	0.9994166071	0.9994897823000001	0.9995174448	0.9994479764	0.9993638056	0.9994858911000001	0.9994971786000001	0.9993486743000001	0.9991979094000001	0.9995303561000001	1.0	0.9997128175000001	0.9996611265	0.9998527368000001	0.9997849762000001	0.9997083254	0.9996993546	0.9995638761000001	0.9996454087000001	0.9998083411	0.9997520923000001	0.9998364691
Streptomyces clavuligerus strain ATCC 27064 NODE_1000_length_2399_cov_26.658, whole genome shotgun sequence:625	0.9998980451	0.9998987389	0.9998109429	0.9997566108	0.9998151671000001	0.9998088150000001	0.9998054353	0.9998123906	0.9998149743	0.9997590809	0.9997877961	0.9998116782	0.9998575264	0.9998708949	0.9998126604	0.9997128175000001	1.0	0.9998415359	0.9999146045	0.9998693564000001	0.9998432141	0.9998419976	0.9998155727	0.9998380192	0.9998107565000001	0.9997864221	0.9998933289
Streptomyces clavuligerus strain NCIMB 14335 NODE_1000_length_2633_cov_19.002, whole genome shotgun sequence:626	0.9997467991000001	0.9997480066000001	0.9997760404	0.9997441009	0.9997808085000001	0.9997744826	0.9997665292000001	0.9997775192	0.9997809587	0.9997155740000001	0.9997479487	0.9997772935	0.9997552808000001	0.99971782	0.9997740687000001	0.9996611265	0.9998415359	1.0	0.9999051144000001	0.999866436	0.9998673708	0.9998137397	0.999762515	0.9997872207	0.9998676409	0.9998410712	0.9998856476
Streptomyces clavuligerus strain BW0219 NODE_1000_length_1001_cov_31.2563, whole genome shotgun sequence:627	0.9998854894	0.9999265809000001	0.9998524703	0.999826359	0.9998547223	0.9998548265	0.9998526696000001	0.9998551663	0.9998565283	0.999844453	0.9998507715	0.999850306	0.9998848836	0.9998614605	0.9998501463	0.9998527368000001	0.9999146045	0.9999051144000001	1.0	0.999900581	0.9999050262	0.9999027068	0.9998354956000001	0.9998874268000001	0.999892705	0.9998429243	0.9999394571
Streptomyces clavuligerus strain BW0220 NODE_1000_length_1140_cov_9.13031, whole genome shotgun sequence:628	0.9998052731	0.9998589165	0.9997868877	0.9997691875	0.9997892762	0.9997884867000001	0.9997809022	0.9997888559	0.9997894116	0.9997544053	0.9997742149000001	0.9997859694000001	0.9998287595	0.9997999755	0.9997787619	0.9997849762000001	0.9998693564000001	0.999866436	0.999900581	1.0	0.9998684745	0.9998621399000001	0.9998062772	0.9998674576000001	0.9998577433	0.9998355155	0.9998940977
Streptomyces clavuligerus strain DSM 738 NODE_1000_length_2512_cov_26.8931, whole genome shotgun sequence:629	0.9997885037	0.9998094398	0.9998109408	0.9997647094000001	0.9998151866	0.9998097574	0.9998031826	0.9998123967	0.9998152706000001	0.9997495237	0.9997818455	0.9998115408	0.9997957879	0.9997617723000001	0.9998036638000001	0.9997083254	0.9998432141	0.9998673708	0.9999050262	0.9998684745	1.0	0.9998366161000001	0.9997630999	0.9997940777000001	0.9998596963	0.9998214638	0.9999007238000001
Streptomyces clavuligerus strain NRRL 3585 NODE_1000_length_2792_cov_16.179, whole genome shotgun sequence:630	0.9998046068	0.9998063034	0.9997936584	0.9997570383000001	0.9997987324000001	0.9997926354000001	0.9997899008000001	0.9997958928	0.9997988366	0.9997434741000001	0.9997727622	0.9997950718	0.9997744561	0.9997838224000001	0.9998005125	0.9996993546	0.9998419976	0.9998137397	0.9999027068	0.9998621399000001	0.9998366161000001	1.0	0.9998009813000001	0.9998227789	0.9998055244	0.9998210891	0.9998841580000001
Streptomyces clavuligerus strain ATCC 27064 NODE_1000_length_2322_cov_195.525, whole genome shotgun sequence:631	0.9997248115	0.9997447918000001	0.9996646203	0.9996214514	0.9996688726	0.9996627666000001	0.9996610475000001	0.9996650299000001	0.9996691049	0.9996278484000001	0.999657722	0.999665321	0.9996960478	0.9997102781	0.9996795469	0.9995638761000001	0.9998155727	0.999762515	0.9998354956000001	0.9998062772	0.9997630999	0.9998009813000001	1.0	0.9997623301	0.9998081006	0.9997728737	0.9998375452
Streptomyces clavuligerus strain NCIMB 12785 NODE_1000_length_2602_cov_29.5063, whole genome shotgun sequence:632	0.9998172759	0.9997922971000001	0.9997455669	0.9997059982000001	0.9997501485	0.9997440474	0.9997395990000001	0.9997472171	0.9997506365000001	0.9996937313	0.9997235599000001	0.9997467783	0.9998001889	0.9997930399	0.999745736	0.9996454087000001	0.9998380192	0.9997872207	0.9998874268000001	0.9998674576000001	0.9997940777000001	0.9998227789	0.9997623301	1.0	0.9998472674000001	0.9998197611	0.9998472896
Streptomyces clavuligerus strain BW0218 NODE_1000_length_1065_cov_21.6876, whole genome shotgun sequence:633	0.9998332346000001	0.9998765774	0.9998085839	0.9997949295	0.9998097061000001	0.9998101488000001	0.9997943840000001	0.9998090104	0.9998119816000001	0.9997880191	0.9998058311	0.9998062952000001	0.9998383346	0.9998077965000001	0.9998061324	0.9998083411	0.9998107565000001	0.9998676409	0.999892705	0.9998577433	0.9998596963	0.9998055244	0.9998081006	0.9998472674000001	1.0	0.9998105905	0.9999150372000001
Streptomyces clavuligerus strain BW0217 NODE_1000_length_1270_cov_13.0604, whole genome shotgun sequence:634	0.9997746070000001	0.9998170532	0.9997496432	0.9997322244000001	0.9997518968	0.9997517595000001	0.9997467696000001	0.9997514195	0.9997530202	0.9997390558	0.9997480671000001	0.9997490311	0.9997964216	0.999753192	0.9997469143000001	0.9997520923000001	0.9997864221	0.9998410712	0.9998429243	0.9998355155	0.9998214638	0.9998210891	0.9997728737	0.9998197611	0.9998105905	1.0	0.9998299322
Streptomyces clavuligerus strain BW0216 NODE_1000_length_953_cov_5.89225, whole genome shotgun sequence:635	0.9998680119000001	0.9999111746	0.9998367140000001	0.9998098942	0.9998389633	0.9998389231	0.9998372470000001	0.9998389203	0.9998398475	0.9998273089	0.9998350116	0.9998356385	0.9998448065000001	0.9998457494	0.999833603	0.9998364691	0.9998933289	0.9998856476	0.9999394571	0.9998940977	0.9999007238000001	0.9998841580000001	0.9998375452	0.9998472896	0.9999150372000001	0.9998299322	1.0
