	Streptomyces sp. W007 contig00324, whole genome shotgun sequence:683	Streptomyces sp. ScaeMP-e10 B061DRAFT_scaffold_0.1, whole genome shotgun sequence:684	Streptomyces anulatus strain ATCC 11523 chromosome, whole genome shotgun sequence:685	Streptomyces sp. TSRI0261 scaffold1, whole genome shotgun sequence:686	Streptomyces sp. CB00072 scaffold1, whole genome shotgun sequence:687	Streptomyces sp. CB02115 scaffold1, whole genome shotgun sequence:688	Streptomyces sp. IB2014 011-1 STIB_1, whole genome shotgun sequence:689	Streptomyces lavendulae subsp. lavendulae strain ATCC 13664 Contig1, whole genome shotgun sequence:690	Streptomyces sp. SM13 1005_3024_150609, whole genome shotgun sequence:691	Streptomyces sp. CS090A Scaffold00001, whole genome shotgun sequence:692	Streptomyces sp. IB2014 011-12 contig00001, whole genome shotgun sequence:693	Streptomyces sp. BPSDS2 1, whole genome shotgun sequence:694	Streptomyces sp. TRM68085 scaffold1, whole genome shotgun sequence:695	Streptomyces sp. SID8374 SID8374.c1, whole genome shotgun sequence:696	Streptomyces sp. SID2119 SID2119.c1, whole genome shotgun sequence:697	Streptomyces sp. SID5594 SID5594.c1, whole genome shotgun sequence:698	Streptomyces sp. CB00271 chromosome, complete genome:699	Streptomyces sp. C3-3 C3-3_son_contig_1, whole genome shotgun sequence:700	Streptomyces anulatus strain AC569_RSS891, whole genome shotgun sequence:701	Streptomyces sp. KY70 isolate Streptomyces sp. KY70 genome chromosome KY70:702	Streptomyces sp. KY75 isolate Streptomyces sp. KY75 genome chromosome KY75:703
Streptomyces sp. IB2014 011-12 contig00001, whole genome shotgun sequence:693	0.6506924621	0.8434729345	0.6600752942	0.6473030689	0.6560709189	0.6627131924	1.0066707289	0.7927359249	0.6371383239	0.8397329991	1.0	0.6686113300000001	0.7958092412000001	0.7549505819	0.7913330198	0.8444669145	0.643197137	0.6560685885	0.6509235403	0.9161086568000001	0.9154482931000001
Streptomyces sp. BPSDS2 1, whole genome shotgun sequence:694	0.7670838735000001	0.6700092773	0.77609924	0.7584982246	0.7677885862	0.7715811009	0.6592996993	0.6632296511	0.8095504888	0.6644358823000001	0.6589296949	1.0	0.6584230996	0.6629839083	0.6246401644	0.6703264585	0.7305318889	0.7551314386	0.7560196425	0.6649969932	0.6650278168
Streptomyces sp. TRM68085 scaffold1, whole genome shotgun sequence:695	0.6536780718	0.788320168	0.6580057962	0.6459332029	0.6613401717	0.6563080069	0.7816300923	0.8406958623	0.6464402988	0.7875381391	0.7817033435	0.6562551166	1.0	0.7453756865000001	0.7370944453	0.7884422132000001	0.6310114027	0.6549498476000001	0.6512910223	0.7983982323000001	0.7977470436
Streptomyces sp. SID8374 SID8374.c1, whole genome shotgun sequence:696	0.6716735771	0.8004951836	0.6794266395	0.6652671026	0.6721970004000001	0.6823536471	0.7907776780000001	0.8001865771000001	0.6685421596000001	0.7963386325	0.7908103116	0.7046791778	0.7948698611	1.0	0.7663590966	0.8006848185000001	0.6580916816	0.6795895509000001	0.6677126995	0.8067738215	0.8068900950000001
Streptomyces sp. SID2119 SID2119.c1, whole genome shotgun sequence:697	0.6570267743	0.8568815373	0.6615113340000001	0.6496514483	0.6592663118000001	0.6690071902	0.842765791	0.811389413	0.6454466023000001	0.8502626919	0.8425104968	0.6748085718	0.7989253093	0.7789230397	1.0	0.8566103117	0.6368691082	0.6562111386	0.6472977792	0.8603088786	0.860294906
Streptomyces sp. SID5594 SID5594.c1, whole genome shotgun sequence:698	0.6722954884	0.9999040317000001	0.6790157487	0.6606979313	0.6768660579	0.6821212842000001	0.8520435684000001	0.8147468046	0.6425373781	0.9426096949	0.8525713323	0.6867032461	0.8103730011	0.7717131153	0.8122979402	1.0	0.6429167936	0.6644315331	0.6662286795	0.8705886141	0.870416614
Streptomyces sp. CB00271 chromosome, complete genome:699	0.8203301334	0.6247916329000001	0.8450627039	0.9952712756000001	0.8265362608	0.8353427955	0.6315551709	0.6169342125	0.7032276868	0.6240685153000001	0.6310628637	0.7272811838000001	0.6302788545	0.6163978612000001	0.5868980579	0.6247916329000001	1.0	0.8089091117	0.8351433936	0.6295663268	0.6306002802
Streptomyces sp. C3-3 C3-3_son_contig_1, whole genome shotgun sequence:700	0.8242960667	0.6243716336	0.8592128756	0.8099555815	0.8168442228	0.8542590210000001	0.6226211677	0.6210240697	0.7075893397	0.620239659	0.6224296323	0.7269394180000001	0.6325808917	0.6155082926000001	0.5847477784	0.6243716336	0.7821899314	1.0	0.8222691196	0.630332969	0.63055569
Streptomyces anulatus strain AC569_RSS891, whole genome shotgun sequence:701	0.7967316691	0.5909946464	0.7858090755	0.7943137264	0.7938276553	0.7848704365	0.5835451816	0.5794604271	0.6591929990000001	0.5910345207000001	0.5829593698000001	0.6870305364	0.5938139685	0.5708791032	0.5444981313	0.5909946464	0.7623261857	0.7762136481	1.0	0.5887555339	0.5889321672
Streptomyces sp. KY70 isolate Streptomyces sp. KY70 genome chromosome KY70:702	0.6852960603	0.8969600101	0.6939181192	0.6752510892	0.6885468269	0.6949878868	0.9490008549000001	0.8420635173000001	0.6686460876	0.8906296906000001	0.9529172122	0.7018794356	0.8454632987	0.8011358801	0.8405171066	0.8969600101	0.6674537145	0.6910941114	0.6838091024	1.0	1.0127579834
Streptomyces sp. KY75 isolate Streptomyces sp. KY75 genome chromosome KY75:703	0.6848471355	0.8968389800000001	0.6946073190000001	0.6759824999	0.6886617945	0.6953910989000001	0.9490656650000001	0.8415786089	0.6688008921	0.8901470592	0.9522899692000001	0.7019559409	0.8448266447	0.8013015364	0.8405561099000001	0.8968389800000001	0.6685917736	0.6913816113	0.6840571038000001	1.0128214288	1.0
