	Streptomyces sp. SM17 chromosome, complete genome:252	Streptomyces violascens strain YIM 100212 chromosome, complete genome:253	Streptomyces sp. SM8 Scaffold_1, whole genome shotgun sequence:278	Streptomyces albidoflavus, complete sequence:279	Streptomyces sp. FR-008 chromosome, complete genome:280	Streptomyces albidoflavus strain SM254 chromosome, complete genome:281	Streptomyces sampsonii strain KJ40 chromosome, complete genome:282	Streptomyces sp. SM9 1003_9407_348140, whole genome shotgun sequence:283	Streptomyces sp. S5 NODE_1000_length_1770_cov_89.3881_ID_88717, whole genome shotgun sequence:284	Streptomyces sp. N1 Endophyte_N1_0, whole genome shotgun sequence:285	Streptomyces albidoflavus strain NBRC 13083 Scaffold10_1, whole genome shotgun sequence:286	Streptomyces albidoflavus strain CGMCC 4.1681 Scaffold10_1, whole genome shotgun sequence:287	Streptomyces albidoflavus strain FXJ.2339 Scaffold10_1, whole genome shotgun sequence:288	Streptomyces albidoflavus strain Ma24 Scaffold10_1, whole genome shotgun sequence:289	Streptomyces albidoflavus strain CR33 Scaffold10_1, whole genome shotgun sequence:290	Streptomyces albidoflavus strain CR10 Scaffold10_1, whole genome shotgun sequence:291	Streptomyces albidoflavus strain CR25 Scaffold10_1, whole genome shotgun sequence:292	Streptomyces albidoflavus strain Ma1 Scaffold10_1, whole genome shotgun sequence:293	Streptomyces albidoflavus strain CR47 Scaffold10_1, whole genome shotgun sequence:294	Streptomyces albidoflavus strain CR19 Scaffold10_1, whole genome shotgun sequence:295	Streptomyces sp. GF20 chromosome, complete genome:296	Streptomyces sp. FR-008 Scaffold1, whole genome shotgun sequence:297	Streptomyces sp. SID7817 SID7817.c1, whole genome shotgun sequence:298	Streptomyces sp. SID4934 SID4934.c1, whole genome shotgun sequence:299	Streptomyces sp. SID4915 SID4915.c1, whole genome shotgun sequence:300	Streptomyces sp. S-2 utg000001l_segment0_segment0_pilon, whole genome shotgun sequence:301	Streptomyces sp. CAI-21 NODE_101_length_24701_cov_408.986, whole genome shotgun sequence:302	Streptomyces sp. CAI-17 NODE_1001_length_938_cov_921.376, whole genome shotgun sequence:303	Streptomyces albidoflavus strain J1074/R2 chromosome, complete genome:304	Streptomyces sp. CBG9 tig00000001, whole genome shotgun sequence:305	Streptomyces sp. NK08203 1, whole genome shotgun sequence:306	Streptomyces sp. BvitLS-983, whole genome shotgun sequence:307	Streptomyces sp. ScaeMP-6W, whole genome shotgun sequence:308
Streptomyces albidoflavus strain FXJ.2339 Scaffold10_1, whole genome shotgun sequence:288	0.9951324520000001	0.9771709654	0.9236662803000001	0.9037456678	0.9529416523	0.9442662456	0.9341989873000001	0.8535593760000001	0.9082841433000001	0.9314738514	0.9512520485	0.9524351925000001	1.0	0.9268720334	0.919608422	0.9382791771000001	0.9204168476000001	0.9252310249000001	0.934325532	0.9231306071000001	0.9322121929	0.9544958632	0.9036820444	0.9212558911000001	0.9760157708	0.9486965752000001	0.9269915556	0.9301234324000001	0.9038685609	0.9221807491	0.9286874797	0.9719656371000001	0.9201108088000001
Streptomyces albidoflavus strain Ma24 Scaffold10_1, whole genome shotgun sequence:289	0.9451178416	0.9457852149	0.9360217742	0.923463896	0.9523918807	0.9542895935000001	0.9477774256	0.8627386664000001	0.9235635640000001	0.9443456302000001	0.9507956133000001	0.9500288592	0.9477563144000001	1.0	0.9470833401000001	0.9480630735000001	0.9479035185	0.9455593104000001	0.9508453037000001	0.9656256054000001	0.9653419682000001	0.9527366974	0.92336868	0.9517072737000001	0.9387010333	0.9426709496000001	0.9395489292	0.9400334821	0.9230650805	0.9602659383000001	0.9657937772	0.9352607646000001	0.9507364444
Streptomyces albidoflavus strain CR33 Scaffold10_1, whole genome shotgun sequence:290	0.9151876462	0.9130931328	0.9050786256000001	0.8990974353000001	0.9243129120000001	0.9222983173	0.9178629676000001	0.8346783292000001	0.9070100881000001	0.9373926179000001	0.9166911523	0.929579165	0.9148211658000001	0.9213922457	1.0	0.9405538787000001	1.0028886708	0.9387986008	0.9481620858	0.9265073238	0.9270652180000001	0.9245155032000001	0.8990620867	0.9155082992	0.9081229424	0.9130971847	0.911830361	0.9082270323	0.8988717907	0.9264937712	0.9200773591	0.9048986688	0.9143181808
Streptomyces albidoflavus strain CR10 Scaffold10_1, whole genome shotgun sequence:291	0.930359127	0.9177116566	0.9092759109	0.8954000789000001	0.9296581044000001	0.9273654238000001	0.9219324637	0.8439560311000001	0.9056931083	0.9507772310000001	0.9236346478	0.9325984310000001	0.9334707619	0.9224205387000001	0.9406304984	1.0	0.9411989177000001	0.9348113261000001	0.950164238	0.9270845676	0.9184965168	0.9302896815	0.8954865714	0.9181552975	0.9244628241	0.9192333102	0.9205319556	0.9162632212	0.8954998457000001	0.9251599343	0.9232661812	0.9211163041	0.9168843186000001
Streptomyces albidoflavus strain CR25 Scaffold10_1, whole genome shotgun sequence:292	0.9142644753	0.9124831369	0.9033168465	0.8983429089	0.9235136251	0.9217343791	0.9170003712	0.8332393841	0.9060187059	0.9393141108	0.9154020489	0.9288595933	0.9141570649	0.9207113301000001	1.0012804154	0.9396130464	1.0	0.9392486881000001	0.9486915951	0.9254062798	0.9258692604000001	0.9239060218	0.8983893604000001	0.9147561917	0.9063932473	0.9123395976	0.9101992016	0.9071583719	0.8981909999000001	0.9261351359000001	0.9196946978	0.903178608	0.9136296381000001
Streptomyces albidoflavus strain Ma1 Scaffold10_1, whole genome shotgun sequence:293	0.9069404854	0.904256452	0.8896917049	0.8754347383000001	0.9131324188000001	0.9061660122	0.9021600497000001	0.8177040811	0.8963250151000001	0.9242459515	0.9078232390000001	0.9056968429000001	0.9063711533000001	0.9058739165	0.9244747575000001	0.9204733354	0.9264035797	1.0	0.9212952759	0.9096374519	0.9186288536	0.9125852381	0.8754024055	0.8978258064	0.9018962968	0.9043535880000001	0.8946189451000001	0.8949362191	0.8754286845	0.9041660578	0.9037623797000001	0.8986821435000001	0.8968560982
Streptomyces albidoflavus strain CR47 Scaffold10_1, whole genome shotgun sequence:294	0.9292358396	0.921736247	0.9111929232	0.9014349880000001	0.9344674192	0.9301311041	0.9233136113	0.8388214069000001	0.9100371238	0.9488266891	0.9260841944	0.9480244827000001	0.9323209145	0.9278978479000001	0.9510788653000001	0.9530095422	0.9531384783	0.9384478988	1.0	0.9323262401	0.9246832763	0.9348196108000001	0.9014062577	0.9210219134000001	0.9246468379	0.9167590358000001	0.9178845633	0.9138284038000001	0.9014253178	0.9301816975	0.9259698337000001	0.9213505601	0.9200300869
Streptomyces albidoflavus strain CR19 Scaffold10_1, whole genome shotgun sequence:295	0.9238400886	0.9242905765	0.9128947805000001	0.9014409842000001	0.9346798136000001	0.9329267117000001	0.9275025555	0.8424281919000001	0.9058621009000001	0.9307778843000001	0.9300894824	0.9310353663000001	0.9252882665000001	0.9465548161	0.9335326179000001	0.9340381499	0.9339208822	0.9307356510000001	0.9365147072000001	1.0	0.9443579836	0.9352337730000001	0.9014564697	0.9240395703000001	0.917478636	0.9245055437	0.9190591447	0.9188461484	0.8979974263	0.936951399	0.9420571165	0.9141576953	0.9230787640000001
Streptomyces sp. GF20 chromosome, complete genome:296	0.9102562296000001	0.9096038003	0.8883517023	0.8771303287000001	0.9184347113	0.9128007039	0.9060892991	0.8196422800000001	0.8950230313	0.9103764572	0.9113267882	0.904565186	0.9078426516	0.9193906502	0.9075547346	0.8990931233	0.9078397792	0.9132296386000001	0.9024467740000001	0.9175263711	1.0	0.9136525550000001	0.8771349791	0.9003910062	0.8987768934	0.9087676787000001	0.8924215208	0.8918248967	0.8771616508000001	0.9113548276000001	0.9158520761000001	0.8954681057	0.8993679095
Streptomyces sp. FR-008 Scaffold1, whole genome shotgun sequence:297	0.9379125307	0.9265998504	0.9091047809	0.888363577	1.0040627129	0.9372056955	0.9244794831	0.8364041411	0.8948732610000001	0.9217587066	0.9323934388	0.9349457303	0.9393170789	0.9169257175000001	0.9145745299	0.920211658	0.9154396221000001	0.9167601350000001	0.9219317527	0.9182151319	0.9232587618	1.0	0.8883085671000001	0.9111929440000001	0.9328109885	0.9305138432000001	0.9198217515	0.9186939112	0.8883355192	0.9155081770000001	0.9284448921	0.9291800615	0.9102319301
Streptomyces sp. SID7817 SID7817.c1, whole genome shotgun sequence:298	0.9459840749	0.9455568387000001	0.9338314491	1.0	0.9438046296	0.9520182927	0.9405799684	0.8663326634	0.9092337242	0.9349914034000001	0.9470193516000001	0.9559557937000001	0.9404497366000001	0.9397626216	0.9405380194	0.9367212495	0.9413438193	0.9299760920000001	0.9400983593000001	0.9359459978	0.9373257821000001	0.9393893197000001	1.0	0.9345974925	0.9342442151	0.9475228852	0.9346711590000001	0.9282222751	1.0204969591	0.9530633624	0.9401321231	0.9306649610000001	0.93354453
Streptomyces sp. SID4934 SID4934.c1, whole genome shotgun sequence:299	0.9144719286	0.9136687428	0.9254096722	0.8914635326	0.9192345796	0.9220749382000001	0.9328350635	0.8369087954000001	0.8953569137	0.9120470351000001	0.9163944999	0.9184405953	0.9144904712	0.9239008929	0.9135407573000001	0.9161074387	0.9142563888	0.9097773135	0.916223992	0.9151147841	0.9177708323	0.9191176081	0.8914635326	1.0	0.9101954275	0.9097978080000001	0.9132651283000001	0.9060657333000001	0.8915165114	0.9172820335	0.9198735313	0.9068141279	0.9987088519
Streptomyces sp. SID4915 SID4915.c1, whole genome shotgun sequence:300	0.9507208067	0.9311820355	0.8986424875000001	0.8740716075	0.9210185378	0.915914909	0.9027906474	0.8328479181	0.8850195005	0.8999757953	0.9234827641000001	0.9237602289	0.9503057719	0.893834101	0.8888283848	0.9047473963	0.8885603558	0.8964111456	0.9022257352	0.8912275184	0.8985921637000001	0.9229156638	0.8740716075	0.8927755229000001	1.0	0.9168052851	0.8967869333	0.9006234411	0.8739072346000001	0.8917314404000001	0.8956499978	0.9959105056	0.8917014922000001
Streptomyces sp. S-2 utg000001l_segment0_segment0_pilon, whole genome shotgun sequence:301	0.9356705835	0.933746375	0.9001641196	0.8949569669	0.9327316719000001	0.9325673866	0.9230010142	0.8468824041	0.8869369468	0.9175952006	0.9327775061	0.9223173666000001	0.9325233471000001	0.9061823445	0.9022276254	0.9082167207	0.9029270112000001	0.9074333975000001	0.9030678272	0.9066256386	0.9172536529	0.9294307805	0.8949569669	0.9009036794	0.9255565474	1.0	0.9152304591	0.9162947239	0.8947358031	0.9234559049000001	0.9180212378	0.9219000268	0.8997402912
Streptomyces sp. CAI-21 NODE_101_length_24701_cov_408.986, whole genome shotgun sequence:302	0.9403929080000001	0.9372681254	0.9259941596000001	0.9116301959	0.9492765627	0.9544939902	0.9458757831000001	0.8576575207	0.9112652411000001	0.9335963384	0.9455879535	0.9444992193	0.9409262267	0.9326577203	0.9303804596	0.9391825698	0.9302078189	0.9269621451000001	0.9336855812	0.9306992248	0.9301522204	0.9487358309	0.9116301959	0.933851379	0.9348943513	0.9451002542	1.0	0.9729782362	0.912277848	0.9325248540000001	0.9432255842	0.9314607828	0.9327083293
Streptomyces sp. CAI-17 NODE_1001_length_938_cov_921.376, whole genome shotgun sequence:303	0.941617166	0.9367228454000001	0.9201215903000001	0.9054074053000001	0.9484286392000001	0.9508529169000001	0.9379468176	0.8543313362	0.9132271407	0.9296092642	0.9392732984000001	0.9472117955	0.9441751753000001	0.9332078993	0.9267725285	0.9348966531	0.9271688759000001	0.927359636	0.9296285112	0.930552514	0.9295992842	0.9476427877	0.9054074053000001	0.9265583868	0.9389634916	0.9462694011	0.9730503698	1.0	0.9039620202	0.9305606406	0.9475954542	0.9352867274000001	0.9254697145
Streptomyces albidoflavus strain J1074/R2 chromosome, complete genome:304	0.9322004531	0.9317680721	0.9199618548	1.005607125	0.9300516553	0.9381313597000001	0.9268675630000001	0.8537037272	0.8959811331	0.921377247	0.9334499216000001	0.9383976729	0.926919126	0.9257462820000001	0.9266186775	0.9230674503	0.9274040783	0.9164345368000001	0.9264011907	0.9187508426000001	0.9236775654	0.9257109944	1.005607125	0.9210157293000001	0.9204397495000001	0.9334670613	0.9216879218	0.9132186136	1.0	0.9391667982	0.9264435358	0.9168971642	0.9199252710000001
Streptomyces sp. CBG9 tig00000001, whole genome shotgun sequence:305	0.9034037001	0.9012333349	0.8878086467	0.8920776882	0.9098410547	0.9125531903	0.9054907476	0.8227667806000001	0.8790200632	0.9032701728	0.9052331330000001	0.9137858548000001	0.8982906732	0.9147774589000001	0.9072146994	0.9058348265	0.90832013	0.899069263	0.9080325538	0.9105504182	0.9115752673	0.9062017528	0.8920776882	0.9001291356000001	0.8921304972	0.9151338508	0.8949143216000001	0.8929631272	0.8920865809	1.0	0.9142162613	0.8886156931	0.8991092118
Streptomyces sp. NK08203 1, whole genome shotgun sequence:306	0.9435791539	0.9396921267	0.9297944238	0.918095231	0.9587865486	0.9525277953	0.949501475	0.8612731499	0.9285233464	0.9389373308000001	0.944351221	0.946162417	0.9438182392000001	0.9599006147	0.9399610441	0.943141949	0.9410792496	0.9375990241000001	0.9430797155	0.9551731491000001	0.9557588011	0.9588192355	0.918095231	0.9417768077	0.9348685987	0.9491593333	0.9443968970000001	0.9487018596000001	0.9181236358	0.9538209969	1.0	0.9301294286	0.9407980567
Streptomyces sp. BvitLS-983, whole genome shotgun sequence:307	0.9508787564000001	0.9313157763000001	0.8990051128000001	0.8742983234	0.9212065247000001	0.9159642634	0.9030993164000001	0.8344306088000001	0.8864073731000001	0.900462395	0.9237370301000001	0.9240586126	0.9502483614	0.8942151541000001	0.8893094421000001	0.9051739491	0.8890447064	0.8968843436	0.9027009770000001	0.8916479866	0.8989603494	0.9230982591	0.8742983234	0.8931113105	1.0	0.9169331302	0.8971622612	0.9007805447	0.8741184459	0.8918654873	0.8947687922	1.0	0.8926584587
Streptomyces sp. ScaeMP-6W, whole genome shotgun sequence:308	0.9144953706000001	0.9137742072	0.9254556305	0.8916103679	0.9194582201	0.9221140725	0.9329625144	0.8373462415	0.8954497325	0.9121393747000001	0.9164572813	0.9183661447	0.9145345976	0.9241516453	0.9135327026000001	0.9160220146	0.9143109616	0.9099696025	0.9164205670000001	0.9153451038	0.9179131491	0.9193352342000001	0.8916103679	1.0	0.9102757410000001	0.9097976178	0.9133265163000001	0.9061711402	0.8916121827	0.9174272084	0.9201055361	0.9075260787	1.0
