	GCF_000148465.1:157	GCF_000163875.1:158	GCF_001693675.1:159	GCF_003454755.1:160	GCF_005519465.1:161	GCF_015708605.1:162	GCF_015767735.1:163	GCF_015767755.1:164	GCF_015767775.1:165	GCF_015767795.1:166	GCF_015767815.1:167	GCF_015767855.1:168	GCF_015767875.1:169	GCF_015767895.1:170	GCF_015767915.1:171	GCF_015767935.1:172	GCF_015912395.1:173	GCF_015912435.1:174	GCF_015912455.1:175	GCF_015912465.1:176	GCF_015912875.1:177	GCF_015912895.1:178	GCF_015912925.1:179	GCF_015912945.1:180	GCF_015912975.1:181	GCF_015912985.1:182	GCF_015912995.1:183
GCF_015767935.1:172	7554179	7398441	7605864	7644862	7566494	7628990	7597564	7609681	7600813	7579461	7571339	7566676	7583036	7579003	7599566	7583174	7226992	7184342	6419763	6368249	7189884	7187885	7147148	7207122	6494418	6243802	6400526
GCF_015912395.1:173	8843741	8280076	7248867	7357691	8307596	8463273	7235909	7202456	7228150	7244292	7216108	7211792	7242238	7238944	7247747	7226992	8856659	8746458	6487462	6437359	8744409	8740375	8323064	8747952	6562974	6325561	6468480
GCF_015912435.1:174	8814182	8235879	7205730	7315415	8262214	8416886	7193261	7170796	7185499	7201217	7174344	7169159	7199556	7196952	7204882	7184342	8746458	8834712	6460408	6416399	8731110	8729719	8295260	8736754	6535253	6311004	6444989
GCF_015912455.1:175	6532520	6366417	6419595	6525731	6383690	6537806	6419048	6409778	6415301	6419906	6427730	6407350	6419384	6435353	6419687	6419763	6487462	6460408	6551723	6356932	6464944	6464995	6425361	6466904	6477466	6251764	6458228
GCF_015912465.1:176	6482113	6314225	6368703	6473702	6331944	6485522	6367536	6351477	6363781	6368393	6376147	6355850	6367872	6384502	6368887	6368249	6437359	6416399	6356932	6494773	6417007	6419553	6380249	6420588	6425007	6304546	6364354
GCF_015912875.1:177	8819260	8244215	7212118	7319801	8269648	8422536	7198804	7165607	7191036	7206586	7199567	7174713	7205134	7222241	7210485	7189884	8744409	8731110	6464944	6417007	8818348	8727910	8298857	8731449	6550078	6312444	6446662
GCF_015912895.1:178	8809815	8233970	7208470	7317590	8260265	8415222	7196805	7165737	7189433	7204700	7177562	7172703	7203099	7200054	7208307	7187885	8740375	8729719	6464995	6419553	8727910	8816246	8290680	8729211	6540667	6310404	6448438
GCF_015912925.1:179	8373027	8194064	7167976	7277748	8223455	8377473	7156068	7124581	7148306	7164178	7136694	7131979	7162391	7158374	7166689	7147148	8323064	8295260	6425361	6380249	8298857	8290680	8431857	8301430	6503409	6287252	6407936
GCF_015912945.1:180	8813322	8243133	7228708	7338025	8269299	8425496	7216042	7187030	7208282	7223995	7196592	7191943	7222388	7219150	7227606	7207122	8747952	8736754	6466904	6420588	8731449	8729211	8301430	8834095	6553938	6313842	6450117
GCF_015912975.1:181	6606237	6441091	6494123	6600267	6458176	6611429	6493708	6485574	6489960	6494561	6502412	6482030	6494045	6510022	6494347	6494418	6562974	6535253	6477466	6425007	6550078	6540667	6503409	6553938	6618266	6319641	6461655
GCF_015912985.1:182	6346449	6182944	6242945	6349137	6206936	6357041	6243090	6232830	6239338	6243946	6223582	6231381	6243425	6231217	6243726	6243802	6325561	6311004	6251764	6304546	6312444	6310404	6287252	6313842	6319641	6385770	6262208
GCF_015912995.1:183	6514450	6346815	6400354	6506415	6364210	6518409	6399813	6396437	6396059	6400670	6408483	6388141	6400150	6416082	6400451	6400526	6468480	6444989	6458228	6364354	6446662	6448438	6407936	6450117	6461655	6262208	6522740
