	GCF_000239075.1:289	GCF_000364805.1:290	GCF_000373405.1:291	GCF_000385945.1:292	GCF_000720395.1:293	GCF_000721595.1:294	GCF_000935135.2:295	GCF_001189025.1:296	GCF_001418625.1:297	GCF_001426325.1:298	GCF_001427565.1:299	GCF_001434355.1:300	GCF_001905485.1:301	GCF_001905575.1:302	GCF_001905595.1:303	GCF_001905645.1:304	GCF_001983595.1:305	GCF_002158965.1:306	GCF_002188345.1:307	GCF_002242735.1:308	GCF_002910875.1:309	GCF_003116675.1:310	GCF_003268965.1:311	GCF_003367645.1:312	GCF_003610995.1:313	GCF_004524875.1:314	GCF_005234185.1:315	GCF_008932075.1:316	GCF_009862355.1:317	GCF_009862365.1:318	GCF_009865135.1:319	GCF_009865505.1:320	GCF_009872615.1:321	GCF_013167895.1:322	GCF_013364315.1:323	GCF_013409565.1:324	GCF_014495705.1:325	GCF_016653995.1:326	GCF_017358145.1:327	GCF_018070745.1:328	GCF_018530825.1:329	GCF_018614445.1:330	GCF_018614515.1:331	GCF_019049185.1:332	GCF_900207595.1:333	GCF_904440635.1:334	GCF_904440645.1:335
GCF_001427565.1:299	7495863	3421012	5505103	5506829	3429299	3423643	7439138	8305766	5382048	9190390	9213798	8260530	7384085	7563536	4858637	7979710	5396890	5398839	7390285	5595634	6110338	5492988	3395950	5392388	5115447	3400847	6400096	5552501	2967537	3427550	5281024	5099955	5506096	3121388	5580231	3121543	7076843	5402532	5568223	7437149	8342253	4920199	4889136	7211245	3372605	5437806	5439674
GCF_001434355.1:300	7492455	3401304	5481557	5536501	3383615	3396912	7384871	8157673	5336400	8269065	8260530	8847108	7302489	7438177	4855602	7920965	5387220	5368956	7320598	5555157	6095501	5484265	3390175	5381648	5110020	3391085	6420572	5461583	2918030	3392329	5288233	5065742	5483446	3125528	5575599	3125977	7022346	5379213	5554859	7383828	8271941	4812987	4838876	7153697	3367364	5439035	5444096
GCF_001905485.1:301	7123174	3321801	5332426	5339774	3327519	3319668	7263101	7275422	5174265	7370042	7384085	7302489	8668234	7179814	4779670	7252120	5277287	5246648	7476897	5382774	5994350	5323965	3303291	5277515	5021270	3302180	6274961	5361378	2885735	3314103	5178024	4974921	5335519	3078456	5356758	3078262	8270557	5192010	5361101	6960525	7323196	4812796	4773351	7231120	3286466	5292720	5298121
GCF_001905575.1:302	8005053	3358528	5465041	5437193	3374109	3361424	7114766	7444241	5256288	7556292	7563536	7438177	7179814	8890378	4825484	7472011	5349708	5349852	7171746	5470534	6010058	5436189	3354788	5349000	5076595	3353949	6351819	5489259	2942790	3373254	5231962	5048550	5466086	3087268	5462075	3087418	6868394	5271520	5455157	7019724	7401342	4840310	4813554	7226695	3336206	5396934	5397497
GCF_001905595.1:303	4851248	3114745	5654958	5547347	3115007	3121720	4819082	4828876	5376309	4845620	4858637	4855602	4779670	4825484	7414887	4843270	5596584	5606198	4760879	5575983	4809262	5672761	3111626	5594819	5227440	3121105	4801318	5835322	2704347	3118860	5491165	5355036	5655257	3174879	5567702	3174708	4689322	5375254	5563242	4860706	4812210	6802149	6848030	4815214	3096277	5706222	5703517
GCF_001905645.1:304	7406034	3394237	5510401	5488798	3400931	3374570	7385599	7848050	5325381	7975158	7979710	7920965	7252120	7472011	4843270	8690341	5406207	5396181	7333844	5538768	6045981	5500209	3363172	5403155	5156921	3381781	6383194	5447491	2925079	3377690	5311015	5123144	5508525	3129482	5549508	3128969	6941575	5353725	5533332	7341256	7915467	4821766	4853287	7145152	3339104	5447420	5450239
GCF_001983595.1:305	5306493	3324616	6880593	6223165	3323379	3354452	5254607	5397971	5958982	5385200	5396890	5387220	5277287	5349708	5596584	5406207	8195763	6464193	5244793	6221633	5205231	6838691	3400296	8207469	5849017	3301536	5454304	6487690	2872849	3313985	6154920	6453758	6880746	3119946	6198469	3120510	5248130	5994579	6175473	5350627	5379163	5601611	5597917	5312366	3352883	7438412	7438454
GCF_002158965.1:306	5307124	3265413	6579498	6265410	3274253	3288655	5271152	5382807	6027491	5390024	5398839	5368956	5246648	5349852	5606198	5396181	6464193	7846629	5231114	6228279	5238357	6510549	3268774	6463241	5811195	3263161	5486816	6977948	2817597	3244343	6228153	6213483	6579553	3094444	6217382	3093566	5126632	6053547	6220260	5336902	5404763	5568780	5585653	5275180	3250821	6600221	6596007
GCF_002188345.1:307	7150187	3310249	5342260	5317849	3331671	3311113	7751174	7321819	5132651	7380314	7390285	7320598	7476897	7171746	4760879	7333844	5244793	5231114	8351125	5334410	5906734	5310933	3310171	5246328	4969552	3288551	6212117	5319418	2882135	3319502	5170148	4928127	5347322	3061939	5351235	3061776	7188320	5158050	5332820	6982999	7328584	4758251	4739846	7143387	3291554	5269628	5268298
GCF_002242735.1:308	5462166	3360652	6347717	7014298	3343202	3358942	5376649	5556404	7241782	5590343	5595634	5555157	5382774	5470534	5575983	5538768	6221633	6228279	5334410	8486085	5384898	6302167	3364000	6220856	5998810	3355589	5625505	6263575	2905108	3323054	6249344	5999777	6346322	3225719	7556024	3227048	5268034	7255591	7587908	5487700	5560475	5564777	5554701	5351658	3339083	6334425	6324803
GCF_002910875.1:309	5993219	3290387	5191265	5371162	3308897	3282651	5950862	6065934	5151344	6099086	6110338	6095501	5994350	6010058	4809262	6045981	5205231	5238357	5906734	5384898	8436826	5178005	3270302	5194641	5051860	3260354	6697310	5365587	2875057	3264471	5203515	4942721	5188862	3081289	5372462	3084365	5843718	5166546	5339757	6080819	6037735	4848761	4788674	6001034	3249633	5240949	5241834
GCF_003116675.1:310	5408077	3325839	7602526	6255833	3306862	3305494	5357214	5446311	6082347	5481114	5492988	5484265	5323965	5436189	5672761	5500209	6838691	6510549	5310933	6302167	5178005	8298873	3309248	6846412	5826633	3320565	5496795	6536728	2858371	3307998	6198203	6511168	7612120	3093304	6325360	3094330	5185917	6124320	6287731	5330161	5455043	5602030	5626559	5380546	3258385	6980890	6976670
GCF_003268965.1:311	3328257	7154032	3323804	3366094	7100634	6957545	3307437	3384298	3247803	3383051	3395950	3390175	3303291	3354788	3111626	3363172	3400296	3268774	3310171	3364000	3270302	3309248	7653760	3398375	3202532	6884845	3343723	3324143	6517520	6978138	3318251	3111791	3325191	3192678	3372721	3193401	3272920	3279325	3331635	3406416	3378150	3109584	3123028	3342964	7393000	3348350	3345915
GCF_003367645.1:312	5305149	3320151	6876904	6217279	3324557	3354721	5248473	5394913	5960147	5380862	5392388	5381648	5277515	5349000	5594819	5403155	8207469	6463241	5246328	6220856	5194641	6846412	3398375	8153082	5846757	3295200	5451243	6488298	2872397	3310503	6155174	6451803	6885008	3116341	6198216	3115146	5244039	5999508	6169926	5348981	5375724	5600024	5596783	5307033	3348836	7469109	7463725
GCF_003610995.1:313	5032110	3240546	5874103	5909848	3204662	3232622	5040755	5083109	5802966	5102605	5115447	5110020	5021270	5076595	5227440	5156921	5849017	5811195	4969552	5998810	5051860	5826633	3202532	5846757	7238194	3234715	5245005	5834320	2760293	3223080	6266652	5743133	5866609	3060553	5999803	3060082	5011168	5803408	6009139	5050807	5108754	5214222	5222366	4983399	3188441	5868464	5869129
GCF_004524875.1:314	3313200	6996440	3300216	3369287	6825365	6802024	3318531	3360368	3248816	3391719	3400847	3391085	3302180	3353949	3121105	3381781	3301536	3263161	3288551	3355589	3260354	3320565	6884845	3295200	3234715	7461832	3332619	3311115	6267308	6794721	3326884	3109310	3301470	3250551	3394792	3251061	3290608	3270134	3367878	3376741	3380661	3099899	3111853	3352394	6604661	3359802	3354787
GCF_005234185.1:315	6345989	3336583	5542903	5620138	3351937	3354410	6186636	6403018	5426968	6390496	6400096	6420572	6274961	6351819	4801318	6383194	5454304	5486816	6212117	5625505	6697310	5496795	3343723	5451243	5245005	3332619	8272875	5447052	2890303	3341664	5484783	5167570	5545527	3109032	5598731	3110400	6043599	5415008	5588345	6247108	6382230	4801762	4784210	6254456	3321963	5501437	5501692
GCF_008932075.1:316	5425662	3316298	6543219	6247168	3343452	3353448	5389249	5497831	6031577	5538645	5552501	5461583	5361378	5489259	5835322	5447491	6487690	6977948	5319418	6263575	5365587	6536728	3324143	6488298	5834320	3311115	5447052	8300205	2898169	3312268	6186771	6118035	6544232	3145407	6233214	3147844	5237524	6062808	6223144	5436218	5477821	5812987	5790330	5405849	3295722	6626869	6621464
GCF_009862355.1:317	2878650	6523355	2866029	2908327	6561423	6451075	2896659	2930855	2807309	2954158	2967537	2918030	2885735	2942790	2704347	2925079	2872849	2817597	2882135	2905108	2875057	2858371	6517520	2872397	2760293	6267308	2890303	2898169	7336691	6404442	2801013	2608883	2779220	2720421	2846117	2723359	2790348	2749695	2818939	2860144	2841059	2648174	2614012	2869740	6223732	2805838	2807507
GCF_009862365.1:318	3330972	7058302	3320599	3341128	7038599	7025397	3327349	3406825	3222341	3414151	3427550	3392329	3314103	3373254	3118860	3377690	3313985	3244343	3319502	3323054	3264471	3307998	6978138	3310503	3223080	6794721	3341664	3312268	6404442	7337497	3326477	3103352	3322967	3230701	3374310	3233251	3300145	3249105	3347106	3395029	3378632	3131630	3118306	3356985	6745151	3362829	3364230
GCF_009865135.1:319	5227888	3332723	6230555	6249373	3309741	3321938	5209764	5261729	6029265	5270238	5281024	5288233	5178024	5231962	5491165	5311015	6154920	6228153	5170148	6249344	5203515	6198203	3318251	6155174	6266652	3326884	5484783	6186771	2801013	3326477	7783376	5964861	6232031	3096627	6267242	3099380	5122175	6036241	6271432	5289501	5265738	5499037	5487204	5197059	3255854	6279424	6280329
GCF_009865505.1:320	5031400	3111134	6561854	5936084	3129207	3125181	4942420	5068966	5831897	5084906	5099955	5065742	4974921	5048550	5355036	5123144	6453758	6213483	4928127	5999777	4942721	6511168	3111791	6451803	5743133	3109310	5167570	6118035	2608883	3103352	5964861	7657831	6559777	2925564	6000275	2925428	4877036	5849603	6004755	5025154	5060490	5368502	5330080	4956897	3049363	6588100	6587993
GCF_009872615.1:321	5429176	3325090	8074805	6295986	3317786	3330709	5351214	5472139	6116154	5490685	5506096	5483446	5335519	5466086	5655257	5508525	6880746	6579553	5347322	6346322	5188862	7612120	3325191	6885008	5866609	3301470	5545527	6544232	2779220	3322967	6232031	6559777	8075580	3101625	6330486	3101490	5191926	6156003	6299742	5365670	5465642	5622284	5634342	5380183	3272347	7030508	7029119
GCF_013167895.1:322	3065252	3243563	3101625	3217143	3203391	3214070	3101883	3097177	3111792	3113541	3121388	3125528	3078456	3087268	3174879	3129482	3119946	3094444	3061939	3225719	3081289	3093304	3192678	3116341	3060553	3250551	3109032	3145407	2720421	3230701	3096627	2925564	3101625	6633309	3249378	6632275	3079039	3137594	3244203	3145130	3109875	3168266	3193122	3122832	3179115	3167671	3168577
GCF_013364315.1:323	5444220	3401073	6330486	7065919	3371067	3384266	5396595	5560860	7403783	5568514	5580231	5575599	5356758	5462075	5567702	5549508	6198469	6217382	5351235	7556024	5372462	6325360	3372721	6198216	5999803	3394792	5598731	6233214	2846117	3374310	6267242	6000275	6330486	3249378	8452583	3247896	5268000	7404452	7567834	5479386	5558811	5528663	5532132	5378164	3348118	6343706	6343309
GCF_013409565.1:324	3066370	3244690	3101490	3218680	3206730	3214391	3102253	3095499	3112416	3111845	3121543	3125977	3078262	3087418	3174708	3128969	3120510	3093566	3061776	3227048	3084365	3094330	3193401	3115146	3060082	3251061	3110400	3147844	2723359	3233251	3099380	2925428	3101490	6632275	3247896	6646162	3078502	3139951	3245398	3145571	3107793	3168102	3195097	3123122	3181110	3170331	3171235
GCF_014495705.1:325	6816822	3316483	5191926	5256583	3293358	3286972	6989684	6970280	5059275	7060042	7076843	7022346	8270557	6868394	4689322	6941575	5248130	5126632	7188320	5268034	5843718	5185917	3272920	5244039	5011168	3290608	6043599	5237524	2790348	3300145	5122175	4877036	5191926	3079039	5268000	3078502	8309852	5083776	5282031	6721915	7020422	4722653	4675899	6939918	3260231	5231603	5240195
GCF_016653995.1:326	5280090	3281149	6156003	6783179	3265348	3291929	5166284	5376827	7236638	5391848	5402532	5379213	5192010	5271520	5375254	5353725	5994579	6053547	5158050	7255591	5166546	6124320	3279325	5999508	5803408	3270134	5415008	6062808	2749695	3249105	6036241	5849603	6156003	3137594	7404452	3139951	5083776	8090418	7206808	5299713	5360465	5367298	5366436	5174349	3254492	6105512	6108028
GCF_017358145.1:327	5416663	3371136	6299742	7034482	3323924	3333847	5382172	5531919	7246810	5550330	5568223	5554859	5361101	5455157	5563242	5533332	6175473	6220260	5332820	7587908	5339757	6287731	3331635	6169926	6009139	3367878	5588345	6223144	2818939	3347106	6271432	6004755	6299742	3244203	7567834	3245398	5282031	7206808	8193177	5449759	5526039	5543801	5535659	5327072	3314442	6303426	6304339
GCF_018070745.1:328	7083763	3406418	5365670	5466703	3411577	3410525	7123602	7398230	5262452	7425356	7437149	7383828	6960525	7019724	4860706	7341256	5350627	5336902	6982999	5487700	6080819	5330161	3406416	5348981	5050807	3376741	6247108	5436218	2860144	3395029	5289501	5025154	5365670	3145130	5479386	3145571	6721915	5299713	5449759	8593712	7381122	4881331	4871694	7066344	3381056	5416900	5418814
GCF_018530825.1:329	7415231	3401282	5465642	5493946	3382339	3389550	7339827	8175065	5332169	8332413	8342253	8271941	7323196	7401342	4812210	7915467	5379163	5404763	7328584	5560475	6037735	5455043	3378150	5375724	5108754	3380661	6382230	5477821	2841059	3378632	5265738	5060490	5465642	3109875	5558811	3107793	7020422	5360465	5526039	7381122	8683600	4804729	4812629	7204966	3355841	5417428	5414999
GCF_018614445.1:330	4812849	3108894	5622284	5539411	3121877	3132887	4785104	4836484	5351140	4910366	4920199	4812987	4812796	4840310	6802149	4821766	5601611	5568780	4758251	5564777	4848761	5602030	3109584	5600024	5214222	3099899	4801762	5812987	2648174	3131630	5499037	5368502	5622284	3168266	5528663	3168102	4722653	5367298	5543801	4881331	4804729	7671166	6862594	4837372	3092914	5679562	5677929
GCF_018614515.1:331	4792374	3118837	5634342	5548837	3110751	3129698	4802636	4831942	5340498	4873997	4889136	4838876	4773351	4813554	6848030	4853287	5597917	5585653	4739846	5554701	4788674	5626559	3123028	5596783	5222366	3111853	4784210	5790330	2614012	3118306	5487204	5330080	5634342	3193122	5532132	3195097	4675899	5366436	5535659	4871694	4812629	6862594	7359958	4825045	3103960	5687654	5686294
GCF_019049185.1:332	7253132	3364494	5380183	5373556	3363400	3359474	7042034	7128613	5152631	7212090	7211245	7153697	7231120	7226695	4815214	7145152	5312366	5275180	7143387	5351658	6001034	5380546	3342964	5307033	4983399	3352394	6254456	5405849	2869740	3356985	5197059	4956897	5380183	3122832	5378164	3123122	6939918	5174349	5327072	7066344	7204966	4837372	4825045	9103607	3324385	5359799	5361407
GCF_900207595.1:333	3308250	6878185	3272347	3342698	6865099	6728950	3289008	3358893	3224248	3359443	3372605	3367364	3286466	3336206	3096277	3339104	3352883	3250821	3291554	3339083	3249633	3258385	7393000	3348836	3188441	6604661	3321963	3295722	6223732	6745151	3255854	3049363	3272347	3179115	3348118	3181110	3260231	3254492	3314442	3381056	3355841	3092914	3103960	3324385	7372250	3297425	3294495
GCF_904440635.1:334	5371454	3357376	7030508	6323549	3332841	3341059	5319643	5417060	6079978	5426290	5437806	5439035	5292720	5396934	5706222	5447420	7438412	6600221	5269628	6334425	5240949	6980890	3348350	7469109	5868464	3359802	5501437	6626869	2805838	3362829	6279424	6588100	7030508	3167671	6343706	3170331	5231603	6105512	6303426	5416900	5417428	5679562	5687654	5359799	3297425	7838151	7938150
GCF_904440645.1:335	5367599	3355246	7029119	6323995	3332654	3336828	5322165	5416010	6074529	5423347	5439674	5444096	5298121	5397497	5703517	5450239	7438454	6596007	5268298	6324803	5241834	6976670	3345915	7463725	5869129	3354787	5501692	6621464	2807507	3364230	6280329	6587993	7029119	3168577	6343309	3171235	5240195	6108028	6304339	5418814	5414999	5677929	5686294	5361407	3294495	7938150	7837660
