	GCF_000299175.2:418	GCF_000359525.1:419	GCF_001431765.1:420	GCF_001577385.1:421	GCF_001704195.1:422	GCF_002802945.1:423	GCF_002910725.2:424	GCF_002910795.1:425	GCF_003687515.1:426	GCF_004124335.1:427	GCF_004195745.1:428	GCF_004195755.1:429	GCF_004195845.1:430	GCF_004195855.1:431	GCF_004195895.1:432	GCF_004195935.1:433	GCF_004195945.1:434	GCF_004195955.1:435	GCF_004195965.1:436	GCF_004195995.1:437	GCF_004196035.1:438	GCF_004196145.1:439	GCF_004196155.1:440	GCF_009834105.1:441	GCF_009846825.1:442	GCF_009862345.1:443	GCF_009863175.1:444	GCF_009865275.1:445	GCF_011170105.1:446	GCF_011170125.1:447	GCF_011170145.1:448	GCF_012184365.2:449	GCF_013363715.1:450	GCF_013371965.1:451	GCF_013376795.1:452	GCF_013693715.1:453	GCF_014216335.1:454	GCF_014281095.1:455	GCF_014648935.1:456	GCF_015680775.2:457	GCF_019067045.1:458	GCF_900091785.1:459	GCF_900091885.1:460	GCF_900171555.1:461	GCF_900460115.1:462
GCF_004195955.1:435	6475668	6440011	6620454	6607699	6573762	5277545	6554149	5973299	6495037	6733724	6593763	6562304	6658778	6553379	6600365	7177946	6735867	7168767	6733255	6800949	6634022	6611357	6610047	6637341	6623267	6440344	6557674	6497722	5224806	5281799	5251271	6540350	6525006	6503207	6540460	6438922	5283544	6639247	5269515	5272339	6593077	6474677	6549598	6547307	5321175
GCF_004195965.1:436	6466427	6362805	6636798	6586165	6557049	5259383	6591794	5943209	6514639	6717573	6563928	6598210	6582755	6587656	6584042	6719236	6690153	6733255	7268166	6696127	6611396	6667337	6665895	6676747	6632821	6362570	6525547	6555132	5239013	5264229	5232797	6572992	6502239	6504545	6572122	6362761	5274964	6571629	5258653	5276498	6568695	6531771	6518499	6505116	5303340
GCF_004195995.1:437	6501654	6432028	6667725	6636784	6588139	5288226	6630396	5985260	6493407	6770183	6603820	6607908	6764459	6652409	6620849	6786253	6800029	6800949	6696127	7135321	6652447	6609902	6609805	6597912	6670238	6431823	6571787	6597652	5249205	5345089	5294709	6541370	6549401	6520459	6565776	6431959	5328887	6637145	5339533	5307423	6607092	6574132	6564710	6555721	5341339
GCF_004196035.1:438	6484665	6403304	6639413	6626960	6588430	5261929	6562414	5984112	6434709	6611696	6659311	6606806	6613525	6572701	6723766	6631264	6634855	6634022	6611396	6652447	7103409	6624146	6621243	6708161	6643348	6403414	6563831	6517226	5235023	5275248	5253179	6567141	6528453	6526940	6565609	6378843	5263753	6655549	5260716	5260587	6691817	6493636	6557006	6561758	5287860
GCF_004196145.1:439	6492828	6390136	6647181	6609169	6569197	5268967	6620249	6009490	6516435	6666120	6603618	6637193	6596919	6622480	6632001	6606329	6631457	6611357	6667337	6609902	6624146	6960543	6979238	6661557	6649805	6389916	6564984	6561061	5237487	5295454	5258735	6620135	6537966	6545933	6623613	6390795	5275749	6621365	5284788	5275017	6667461	6536145	6557665	6533111	5280004
GCF_004196155.1:440	6493652	6387534	6635316	6607308	6564622	5269476	6616990	6009373	6517004	6654438	6601421	6634610	6584915	6620220	6630299	6605121	6628987	6610047	6665895	6609805	6621243	6979238	6957957	6656516	6634528	6387314	6565027	6561257	5239820	5297788	5259106	6609076	6533520	6538506	6621385	6388173	5276120	6615654	5287344	5277496	6664729	6536605	6557732	6533369	5280382
GCF_009834105.1:441	6494861	6412820	6714802	6673611	6624543	5255797	6655008	5992517	6543636	6655887	6597407	6662835	6613400	6637362	6721791	6635257	6573393	6637341	6676747	6597912	6708161	6661557	6656516	7311137	6679839	6412854	6582882	6571081	5238831	5293352	5305633	6644125	6524616	6520254	6638512	6413049	5305700	6663040	5252446	5272868	6695920	6546890	6575402	6551101	5304085
GCF_009846825.1:442	6577434	6427370	7264461	6780746	6688671	5304963	6785860	6051440	6474468	6668986	6703988	6745929	6764395	6796022	6634019	6617008	6657793	6623267	6632821	6670238	6643348	6649805	6634528	6679839	7235067	6426972	6592542	6748950	5258996	5334917	5300109	6732330	6654972	6646812	6690198	6427167	5349531	6623763	5321099	5333449	6717361	6722680	6585589	6592646	5343997
GCF_009862345.1:443	6388947	6841649	6457180	6513375	6435118	5137544	6472091	5927144	6220658	6396883	6505961	6479174	6540314	6434227	6429526	6434831	6408718	6440344	6362570	6431823	6403414	6389916	6387314	6412854	6426972	6841649	6394188	6391771	5119150	5166183	5147117	6482619	6394692	6350571	6469171	6981882	5189987	6520525	5121624	5148435	6432054	6367283	6386984	6453914	5190768
GCF_009863175.1:444	6637673	6394188	6593381	6613754	6690933	5276098	6559220	6002884	6422114	6541827	6577140	6573010	6587686	6559353	6626851	6552541	6570951	6557674	6525547	6571787	6563831	6564984	6565027	6582882	6592542	6394188	7172686	6528546	5233308	5271238	5241332	6525694	6550564	6498925	6550316	6394568	5288939	6579376	5254473	5286094	6597964	6504293	7163425	6554254	5280284
GCF_009865275.1:445	6571449	6391771	6735077	6697756	6601783	5269385	6952279	6090317	6471829	6581199	6733408	6753097	6755126	6949244	6536287	6499682	6616092	6497722	6555132	6597652	6517226	6561061	6561257	6571081	6748950	6391771	6528546	7312640	5199035	5279489	5256368	6704267	6557880	6585935	6789374	6390569	5320121	6520911	5277056	5286857	6549566	7282735	6520692	6619000	5286778
GCF_011170105.1:446	5184530	5119150	5287350	5315522	5267046	6399956	5287436	4799331	5041954	5238980	5277512	5254509	5260753	5241628	5217188	5225197	5241548	5224806	5239013	5249205	5235023	5237487	5239820	5238831	5258996	5119150	5233308	5199035	6745173	6377631	6431514	5270563	5230888	5235685	5257811	5118207	6458131	5271116	6324382	6348288	5240270	5180471	5225882	5210324	6495076
GCF_011170125.1:447	5211561	5166183	5362962	5351362	5327724	6435804	5345960	4818895	5121835	5310088	5314882	5293965	5352219	5325573	5269166	5281899	5294398	5281799	5264229	5345089	5275248	5295454	5297788	5293352	5334917	5166183	5271238	5279489	6377631	7083172	6463405	5345173	5314013	5297539	5306205	5164532	6525113	5316941	6984879	6369238	5316917	5254757	5261448	5262463	6502892
GCF_011170145.1:448	5184066	5147117	5321275	5316597	5280647	6393585	5368285	4773959	5084214	5307356	5292312	5282522	5330810	5316826	5248164	5251580	5269928	5251271	5232797	5294709	5253179	5258735	5259106	5305633	5300109	5147117	5241332	5256368	6431514	6463405	7179549	5269702	5233288	5233980	5289009	5139316	6529241	5268724	6400021	6345891	5255362	5222516	5237778	5220270	6528006
GCF_012184365.2:449	6520337	6482619	6756240	6755050	6685756	5319803	6777528	6134391	6424526	6646599	6723344	6756572	6680804	6754731	6563930	6535284	6578666	6540350	6572992	6541370	6567141	6620135	6609076	6644125	6732330	6482619	6525694	6704267	5270563	5345173	5269702	7243498	6629470	6637179	6764349	6481017	5331331	6689051	5297974	5321963	6649685	6677781	6517267	6602360	5317384
GCF_013363715.1:450	6495449	6394692	6658765	6695363	6634910	5267275	6596450	6016097	6392132	6548775	6611107	6632891	6625254	6600191	6542191	6526217	6587960	6525006	6502239	6549401	6528453	6537966	6533520	6524616	6654972	6394692	6550564	6557880	5230888	5314013	5233288	6629470	7014568	6825022	6574073	6399235	5272879	6541259	5306232	5307184	6616320	6533795	6542546	6544950	5292131
GCF_013371965.1:451	6453777	6350571	6652324	6669328	6578804	5281453	6604548	5992321	6405419	6520324	6603032	6588108	6643789	6622490	6545565	6500427	6557410	6503207	6504545	6520459	6526940	6545933	6538506	6520254	6646812	6350571	6498925	6585935	5235685	5297539	5233980	6637179	6825022	7014048	6559249	6340433	5286555	6526997	5298247	5290606	6646480	6560146	6491289	6547675	5301740
GCF_013376795.1:452	6542394	6469171	6727250	6710535	6644468	5277774	6957009	6090288	6386941	6636657	6746011	6749270	6680330	6957469	6585581	6535134	6567917	6540460	6572122	6565776	6565609	6623613	6621385	6638512	6690198	6469171	6550316	6789374	5257811	5306205	5289009	6764349	6574073	6559249	6964413	6469221	5322658	6587447	5265274	5281499	6583359	6782526	6545753	6597780	5333485
GCF_013693715.1:453	6387251	6981882	6457304	6513401	6435197	5137825	6472223	5927224	6220754	6397078	6479304	6480898	6515250	6435555	6427412	6433469	6408813	6438922	6362761	6431959	6378843	6390795	6388173	6413049	6427167	6981882	6394568	6390569	5118207	5164532	5139316	6481017	6399235	6340433	6469221	6942952	5190135	6520590	5121774	5148474	6432253	6365973	6386997	6454592	5190672
GCF_014216335.1:454	5212668	5189987	5377577	5347494	5297409	6663165	5413040	4834142	5137122	5320972	5318962	5304235	5352741	5361591	5270003	5283619	5336952	5283544	5274964	5328887	5263753	5275749	5276120	5305700	5349531	5189987	5288939	5320121	6458131	6525113	6529241	5331331	5272879	5286555	5322658	5190135	6996347	5319576	6500446	6469756	5309494	5303325	5282637	5275553	6562822
GCF_014281095.1:455	6489321	6520525	6650364	6670188	6618566	5306582	6603311	6013906	6425082	6602335	6607942	6616683	6679198	6565938	6686446	6631167	6621081	6639247	6571629	6637145	6655549	6621365	6615654	6663040	6623763	6520525	6579376	6520911	5271116	5316941	5268724	6689051	6541259	6526997	6587447	6520590	5319576	7309369	5263855	5306695	6682344	6495220	6571921	6564205	5313647
GCF_014648935.1:456	5199099	5121624	5322125	5315050	5276858	6430887	5314128	4802212	5131488	5267297	5304488	5280575	5349765	5322930	5256107	5270719	5290516	5269515	5258653	5339533	5260716	5284788	5287344	5252446	5321099	5121624	5254473	5277056	6324382	6984879	6400021	5297974	5306232	5298247	5265274	5121774	6500446	5263855	6982337	6329864	5315760	5258813	5248238	5255878	6439510
GCF_015680775.2:457	5207366	5148435	5336454	5341837	5270368	6568608	5331533	4806623	5106334	5274245	5307107	5330873	5320668	5319703	5270198	5272811	5290006	5272339	5276498	5307423	5260587	5275017	5277496	5272868	5333449	5148435	5286094	5286857	6348288	6369238	6345891	5321963	5307184	5290606	5281499	5148474	6469756	5306695	6329864	6938651	5306383	5270788	5281343	5267802	6418685
GCF_019067045.1:458	6514017	6432054	6717132	6673284	6652082	5286360	6610591	6033966	6505112	6578071	6613902	6616000	6628689	6612266	6724937	6585243	6607528	6593077	6568695	6607092	6691817	6667461	6664729	6695920	6717361	6432054	6597964	6549566	5240270	5316917	5255362	6649685	6616320	6646480	6583359	6432253	5309494	6682344	5315760	5306383	7005868	6516364	6591107	6574351	5295221
GCF_900091785.1:459	6547216	6367283	6708903	6670725	6577033	5252836	6924998	6076937	6455470	6557829	6707563	6727332	6729674	6920407	6512332	6476605	6592142	6474677	6531771	6574132	6493636	6536145	6536605	6546890	6722680	6367283	6504293	7282735	5180471	5254757	5222516	6677781	6533795	6560146	6782526	6365973	5303325	6495220	5258813	5270788	6516364	7282735	6500995	6596413	5270824
GCF_900091885.1:460	6629432	6386984	6586470	6605495	6683207	5270480	6550919	5998267	6414487	6534042	6569568	6564973	6578647	6551200	6620091	6544023	6561855	6549598	6518499	6564710	6557006	6557665	6557732	6575402	6585589	6386984	7163425	6520692	5225882	5261448	5237778	6517267	6542546	6491289	6545753	6386997	5282637	6571921	5248238	5281343	6591107	6500995	7163425	6546491	5273969
GCF_900171555.1:461	6507741	6453914	6594667	6649398	6540059	5272419	6601246	6081750	6402886	6511461	6685692	6651173	6632733	6604259	6578517	6540899	6567768	6547307	6505116	6555721	6561758	6533111	6533369	6551101	6592646	6453914	6554254	6619000	5210324	5262463	5220270	6602360	6544950	6547675	6597780	6454592	5275553	6564205	5255878	5267802	6574351	6596413	6546491	7004412	5284259
GCF_900460115.1:462	5231480	5190768	5370327	5385971	5315161	6504420	5367723	4855124	5115260	5318288	5353515	5320915	5364191	5318161	5275310	5321455	5314754	5321175	5303340	5341339	5287860	5280004	5280382	5304085	5343997	5190768	5280284	5286778	6495076	6502892	6528006	5317384	5292131	5301740	5333485	5190672	6562822	5313647	6439510	6418685	5295221	5270824	5273969	5284259	6951521
