	GCF_000239075.1:289	GCF_000364805.1:290	GCF_000373405.1:291	GCF_000385945.1:292	GCF_000720395.1:293	GCF_000721595.1:294	GCF_000935135.2:295	GCF_001189025.1:296	GCF_001418625.1:297	GCF_001426325.1:298	GCF_001427565.1:299	GCF_001434355.1:300	GCF_001905485.1:301	GCF_001905575.1:302	GCF_001905595.1:303	GCF_001905645.1:304	GCF_001983595.1:305	GCF_002158965.1:306	GCF_002188345.1:307	GCF_002242735.1:308	GCF_002910875.1:309	GCF_003116675.1:310	GCF_003268965.1:311	GCF_003367645.1:312	GCF_003610995.1:313	GCF_004524875.1:314	GCF_005234185.1:315	GCF_008932075.1:316	GCF_009862355.1:317	GCF_009862365.1:318	GCF_009865135.1:319	GCF_009865505.1:320	GCF_009872615.1:321	GCF_013167895.1:322	GCF_013364315.1:323	GCF_013409565.1:324	GCF_014495705.1:325	GCF_016653995.1:326	GCF_017358145.1:327	GCF_018070745.1:328	GCF_018530825.1:329	GCF_018614445.1:330	GCF_018614515.1:331	GCF_019049185.1:332	GCF_900207595.1:333	GCF_904440635.1:334	GCF_904440645.1:335
GCF_001427565.1:299	228242	457886	592013	571787	457375	458039	295571	72049	557344	10638	1	67066	232718	231716	516379	177917	573877	568885	292723	582970	475747	591624	454409	573216	548159	455638	494208	591841	397081	457291	559129	531434	592262	407774	584833	407619	221507	558462	581002	221200	62810	519491	518816	281189	451879	578944	579188
GCF_001434355.1:300	226766	453973	590019	573594	452344	454695	288023	68610	552380	73372	67066	1	223826	225843	514288	173985	572066	564860	282907	580873	471758	590892	453939	571401	546550	451560	496146	582423	389368	453265	557687	527356	590121	406703	581954	406638	213391	557992	581117	215805	59352	509299	512866	273611	451179	576243	576476
GCF_001905485.1:301	263357	444070	572668	555651	444720	443162	251544	227662	536088	236965	232718	223826	1	267629	506091	243465	559646	551888	251261	562431	465364	570029	440355	559733	537002	440552	489258	571811	383461	442051	549362	518176	573222	403658	560891	403487	1797	538931	562617	253020	226034	510963	506517	307874	438454	562713	563635
GCF_001905575.1:302	120309	451738	594534	570126	451220	449938	306788	224213	548562	236280	231716	225843	267629	1	517807	227923	574530	568967	308976	576653	475626	591670	450649	574418	550813	450332	500040	591455	394563	451751	560389	532435	594769	405516	577027	405441	253839	551652	575283	238412	220349	517618	515936	304864	448397	581336	581334
GCF_001905595.1:303	518222	419110	344485	405625	418497	419130	516988	511395	394127	515602	516379	514288	506091	517807	1	516572	324170	301143	510203	414919	498174	346739	418903	323799	378959	418659	502598	323298	363324	419316	374864	313467	344170	419976	415723	420158	494720	397304	415609	516337	510291	35768	28729	516243	416521	332968	332405
GCF_001905645.1:304	228435	455413	595936	572587	456046	452579	301115	174265	553100	183546	177917	173985	243465	227923	516572	1	578496	572593	297345	579317	473347	596374	451068	578006	556440	452598	496664	583135	391989	453081	566705	537819	595796	411057	582908	410824	231084	556946	581497	216832	171606	514824	518410	279906	448249	583776	584216
GCF_001983595.1:305	567541	449524	269727	464173	449711	454416	561565	569317	438955	572842	573877	572066	559646	574530	324170	578496	1	300352	560374	464947	541122	269583	457121	284	414762	445973	570230	307733	388049	448701	414246	238054	269540	411430	464842	411427	555715	443491	462789	567775	571462	326174	324366	568969	450422	39094	38806
GCF_002158965.1:306	562749	436834	330533	449491	438507	439899	558783	567242	431708	569173	568885	564860	551888	568967	301143	572593	300352	1	555430	451384	542009	326128	437777	300015	397464	436138	567245	174479	376396	434449	401661	299182	330872	404708	452980	404675	536132	434050	450914	564949	568997	299830	299803	560626	434688	308286	308241
GCF_002188345.1:307	308166	443646	579706	558931	446994	443837	92544	286402	537711	296102	292723	282907	251261	308976	510203	297345	560374	555430	1	564470	468373	574281	443889	560639	535713	440331	492979	572356	385627	444860	551796	519332	580631	403380	566473	403234	239633	541653	564424	294632	284274	510690	508370	330423	441720	564592	564895
GCF_002242735.1:308	573049	452004	490131	181221	449939	450460	569113	579333	56064	584127	582970	580873	562431	576653	414919	579317	464947	451384	564470	1	560272	487537	453096	464695	471722	450901	586184	462674	389930	446034	472625	446459	489600	426470	56777	426593	548390	57910	52011	573208	581157	414550	413004	563614	449424	477305	476671
GCF_002910875.1:309	469570	437604	545442	555862	441174	437240	474059	471212	532596	476178	475747	471758	465364	475626	498174	473347	541122	542009	468373	560272	1	544819	437086	539913	530401	434170	208502	561021	383227	435112	541044	508866	545134	403006	559552	403378	448156	534238	555466	474428	467686	504152	498778	476141	434549	547075	547087
GCF_003116675.1:310	587911	449162	103288	479807	447088	447002	580373	586711	464064	590749	591624	590892	570029	591670	346739	596374	269583	326128	574281	487537	544819	1	447680	269416	420894	449243	580666	337379	385443	447987	435111	247042	103126	409552	492295	409648	551456	467623	487451	572834	587742	342917	343994	584519	440612	275848	275450
GCF_003268965.1:311	446625	48086	449025	453121	47764	57984	442705	452684	434008	452592	454409	453939	440355	450649	418903	451068	457121	437777	443889	453096	437086	447680	1	457072	432198	49961	447650	449272	41851	55293	445951	412830	449317	424266	455502	424457	436113	439075	449665	456499	452284	419502	419659	449265	310	452538	452516
GCF_003367645.1:312	567356	448997	269415	463825	449726	454340	561204	568911	438911	572265	573216	571401	559733	574418	323799	578006	284	300015	560639	464695	539913	269416	457072	1	414350	445496	569994	308231	387929	448230	414034	238335	269585	411029	465415	411082	555568	444031	462558	567649	570925	326064	324354	568507	449920	39407	39018
GCF_003610995.1:313	543784	434595	422808	459121	432496	435333	542309	543771	450108	548403	548159	546550	537002	550813	378959	556440	414762	397464	535713	471722	530401	420894	432198	414350	1	433177	553592	403114	371350	432444	334024	380809	422637	401092	473010	400987	533440	450814	473923	543203	549432	378791	379198	538433	429809	415303	415146
GCF_004524875.1:314	444010	42049	446183	451332	47300	55883	442068	448962	433671	454498	455638	451560	440552	450332	418659	452598	445973	436138	440331	450901	434170	449243	49961	445496	433177	1	446030	447307	43860	51708	444783	413052	446322	428259	455842	428238	437560	436919	451120	452203	452011	415907	417975	450983	47910	450693	450540
GCF_005234185.1:315	498763	446076	586065	582037	448598	448073	490550	495149	556851	495871	494208	496146	489258	500040	502598	496664	570230	567245	492979	586184	208502	580666	447650	569994	553592	446030	1	569440	386376	447263	570501	529192	586744	406799	584713	406884	466724	557635	582999	483068	491585	502704	500082	492315	445112	577115	577068
GCF_008932075.1:316	583510	447835	334821	455951	449806	450064	579732	583550	437921	591247	591841	582423	571811	591455	323298	583135	307733	174479	572356	462674	561021	337379	449272	308231	403114	447307	569440	1	390967	445749	409985	299828	335187	414150	462266	414492	555945	441721	460169	579888	585150	324101	320485	583596	444913	316850	316427
GCF_009862355.1:317	385085	43713	385429	390800	44209	52126	387002	390851	375383	395294	397081	389368	383461	394563	363324	391989	388049	376396	385627	389930	383227	385443	41851	387929	371350	43860	386376	390967	1	50973	374547	345676	372825	361367	381886	361834	370334	366076	378326	379876	378528	355459	349992	385949	40195	378721	378906
GCF_009862365.1:318	447264	55561	448623	446450	56775	47099	443676	453936	430565	455645	457291	453265	442051	451751	419316	453081	448701	434449	444860	446034	435112	447987	55293	448230	432444	51708	447263	445749	50973	1	444242	411603	448958	426823	452192	427192	439078	432681	447465	455061	452888	420470	417531	451396	53417	452310	452564
GCF_009865135.1:319	559918	445146	437112	463437	444527	445868	555405	557443	448904	559489	559129	557687	549362	560389	374864	566705	414246	401661	551796	472625	541044	435111	445951	414034	334024	444783	570501	409985	374547	444242	1	401082	437424	404666	474435	405135	539068	449801	474104	563135	557739	377655	374466	556606	437286	424798	424677
GCF_009865505.1:320	529703	412602	249043	436859	414784	414100	520838	527992	429005	530682	531434	527356	518176	532435	313467	537819	238054	299182	519332	446459	508866	247042	412830	238335	380809	413052	529192	299828	345676	411603	401082	1	248849	379923	448280	379813	504945	430506	449068	525421	526335	314415	311352	521507	403922	242617	242557
GCF_009872615.1:321	589762	448255	0	483702	447998	449074	580859	588408	464979	591042	592262	590121	573222	594769	344170	595796	269540	330872	580631	489600	545134	103126	449317	269585	422637	446322	586744	335187	372825	448958	437424	248849	1	408935	492429	408736	553100	468594	486615	576584	587872	343494	344345	583885	441832	275716	275407
GCF_013167895.1:322	401543	428732	408935	421779	425661	427582	406629	403654	409611	407164	407774	406703	403658	405516	419976	411057	411430	404708	403380	426470	403006	409552	424266	411029	401092	428259	406799	414150	361367	426823	404666	379923	408935	1	429735	1040	401483	412773	427386	412076	406791	421322	422481	411922	421838	416786	416855
GCF_013364315.1:323	572635	456678	492429	181943	453972	456226	570411	582913	51770	585340	584833	581954	560891	577027	415723	582908	464842	452980	566473	56777	559552	492295	455502	465415	473010	455842	584713	462266	381886	452192	474435	448280	492429	429735	1	429351	547628	53886	48910	574000	582490	414320	413169	568643	451764	478270	478141
GCF_013409565.1:324	401556	428801	408736	421953	426160	427515	406540	403475	409692	406980	407619	406638	403487	405441	420158	410824	411427	404675	403234	426593	403378	409648	424457	411082	400987	428238	406884	414492	361834	427192	405135	379813	408736	1040	429351	1	401231	413198	427573	412072	406549	421270	422787	411892	422267	417143	417210
GCF_014495705.1:325	250117	440383	553100	543347	439667	438389	240116	216921	521690	225627	221507	213391	1797	253839	494720	231084	555715	536132	239633	548390	448156	551456	436113	555568	533440	437560	466724	555945	370334	439078	539068	504945	553100	401483	547628	401231	1	525382	549864	242364	215423	499696	493945	295139	434956	552230	553615
GCF_016653995.1:326	549259	437023	468594	174514	436366	439512	541350	555976	51176	558505	558462	557992	538931	551652	397304	556946	443491	434050	541653	57910	534238	467623	439075	444031	450814	436919	557635	441721	366076	432681	449801	430506	468594	412773	53886	413198	525382	1	49549	548185	555311	396598	395898	541360	435435	454861	455171
GCF_017358145.1:327	568979	451902	486615	181064	447206	449053	569144	578302	50355	580671	581002	581117	562617	575283	415609	581497	462789	450914	564424	52011	555466	487451	449665	462558	473923	451120	582999	460169	378326	447465	474104	449068	486615	427386	48910	427573	549864	49549	1	571132	579300	414892	413121	562332	446855	475255	475374
GCF_018070745.1:328	239794	456807	576584	568599	456058	454530	303143	218635	544746	225476	221200	215805	253020	238412	516337	216832	567775	564949	294632	573208	474428	572834	456499	567649	543203	452203	483068	579888	379876	455061	563135	525421	576584	412076	574000	412072	242364	548185	571132	1	214742	517410	516273	254328	453312	577586	577813
GCF_018530825.1:329	220728	455003	587872	571215	451939	453647	286467	67518	551073	69032	62810	59352	226034	220349	510291	171606	571462	568997	284274	581157	467686	587742	452284	570925	549432	452011	491585	585150	378528	452888	557739	526335	587872	406791	582490	406549	215423	555311	579300	214742	1	509168	510032	275548	449910	576779	577020
GCF_018614445.1:330	514352	418257	343494	406463	418391	420478	513869	511253	393215	519147	519491	509299	510963	517618	35768	514824	326174	299830	510690	414550	504152	342917	419502	326064	378791	415907	502704	324101	355459	420470	377655	314415	343494	421322	414320	421270	499696	396598	414892	517410	509168	1	33730	518891	416653	332658	332113
GCF_018614515.1:331	511909	418124	344345	407077	417617	419683	516979	511360	391191	517700	518816	512866	506517	515936	28729	518410	324366	299803	508370	413004	498778	343994	419659	324354	379198	417975	500082	320485	349992	417531	374466	311352	344345	422481	413169	422787	493945	395898	413121	516273	510032	33730	1	517973	416472	333110	332601
GCF_019049185.1:332	303272	452484	583885	564807	452572	451774	328007	275191	538657	284522	281189	273611	307874	304864	516243	279906	568969	560626	330423	563614	476141	584519	449265	568507	538433	450983	492315	583596	385949	451396	556606	521507	583885	411922	568643	411892	295139	541360	562332	254328	275548	518891	517973	1	447370	576735	576913
GCF_900207595.1:333	444205	46615	441832	449380	46461	55935	440642	449935	430719	450041	451879	451179	438454	448397	416521	448249	450422	434688	441720	449424	434549	440612	310	449920	429809	47910	445112	444913	40195	53417	437286	403922	441832	421838	451764	422267	434956	435435	446855	453312	449910	416653	416472	447370	1	445456	445350
GCF_904440635.1:334	576853	451760	275716	472691	450654	452034	568934	576681	452170	578018	578944	576243	562713	581336	332968	583776	39094	308286	564592	477305	547075	275848	452538	39407	415303	450693	577115	316850	378721	452310	424798	242617	275716	416786	478270	417143	552230	454861	475255	577586	576779	332658	333110	576735	445456	1	1108
GCF_904440645.1:335	576623	451343	275407	472608	450614	451986	569196	576927	451893	578178	579188	576476	563635	581334	332405	584216	38806	308241	564895	476671	547087	275450	452516	39018	415146	450540	577068	316427	378906	452564	424677	242557	275407	416855	478141	417210	553615	455171	475374	577813	577020	332113	332601	576913	445350	1108	1
