accession,organism_name,strain_name,assembly_level,total_16S_copies,unique_16S_copies,degree,ANI_species_ID,ANI_genus_ID,NCBI_taxID
GCF_018530825.1,Streptomyces sp.,Tu10,Contig,1,1,18,73,60,1887
GCF_001514035.1,Streptomyces yokosukanensis,DSM 40224,Scaffold,1,1,0,NA,NA,67386
GCF_001723065.1,Streptomyces rubidus,NRRL B-24619,Scaffold,1,1,0,NA,NA,310780
GCF_009872615.1,Streptomyces sp.,SID5594,Scaffold,1,1,20,75,60,1887
GCF_013364335.1,Streptomyces sp.,NA00687,Complete,6,1,2,122,100,1887
GCF_000612545.1,Streptomyces sp.,PCS3-D2,Scaffold,1,1,3,199,157,1887
GCF_000931445.1,Streptomyces cyaneogriseus,NMWT 1,Complete,6,2,1,44,36,68192
GCF_002899455.1,Streptomyces sp.,DH-12,Contig,6,2,0,NA,NA,1887
GCF_004117935.1,Streptomyces roseicoloratus,TRM44457,Scaffold,1,1,0,NA,NA,2508722
GCF_000718165.1,Streptomyces fulvoviolaceus,NRRL B-2870,Contig,1,1,0,NA,NA,285535
GCF_002803075.1,Streptomyces sp.,CB01373,Scaffold,1,1,0,NA,NA,1887
GCF_900091955.1,Streptomyces sp.,Ncost-T10-10d,Contig,1,1,2,198,156,1887
GCF_001513955.1,Streptomyces pseudovenezuelae,DSM 40212,Scaffold,1,1,1,121,99,67350
GCF_009862885.1,Streptomyces sp.,SID5468,Contig,6,4,2,65,54,1887
GCF_010669165.1,Streptomyces aureoverticillatus,HN6,Complete,6,2,0,NA,NA,66871
GCF_016834575.1,Streptomyces sp.,S-9,Scaffold,2,2,1,176,138,1887
GCF_003429565.1,Streptomyces triticagri,NEAU-YY421,Scaffold,1,1,0,NA,NA,2293568
GCF_014650615.1,Streptomyces albaduncus,JCM 4715,Scaffold,1,1,1,123,101,68172
GCF_007829875.1,Streptomyces capillispiralis,DSM 41695,Contig,6,2,0,NA,NA,68182
GCF_003947265.2,Streptomyces sp.,WAC 00631,Contig,5,1,0,NA,NA,1887
GCF_001895105.1,Streptomyces sp.,NBRC 110465,Scaffold,1,1,0,NA,NA,1887
GCF_008704395.1,Streptomyces alboniger,ATCC 12461,Complete,6,1,1,61,50,132473
GCF_000797385.1,Streptomyces sp.,CNQ431,Contig,1,1,8,119,97,1887
GCF_004195965.1,Streptomyces albidoflavus,Ma1,Contig,1,1,32,107,87,1886
GCF_002910985.1,Streptomyces sp.,B188M101,Scaffold,7,1,4,112,91,1887
GCF_017114865.1,Streptomyces verrucosisporus,CPB1-1,Contig,1,1,0,NA,NA,1695161
GCF_009863035.1,Streptomyces sp.,SID4982,Contig,1,1,1,93,74,1887
GCF_013401535.1,Streptomyces sp.,CB04723,Complete,7,7,13,98,78,1887
GCF_000719865.1,Streptomyces albus,NRRL F-4971,Contig,1,1,0,NA,NA,1888
GCF_900215615.1,Streptomyces sp.,Ag82_G6-1,Contig,6,1,1,221,175,1887
GCF_007113545.2,Streptomyces sp.,RLB3-6,Chromosome,6,2,13,233,185,1887
GCF_018604545.1,Streptomyces sp.,MG62,Complete,6,6,0,NA,NA,1887
GCF_017876255.1,Streptomyces clavifer,DSM 40843,Contig,6,3,3,170,132,68188
GCF_005280195.1,Streptomyces galbus,DSM 40089,Scaffold,1,1,2,168,131,33898
GCF_004348415.1,Streptomyces hainanensis,DSM 41900,Contig,1,1,0,NA,NA,402648
GCF_014141525.1,Streptomyces calidiresistens,DSM 42108,Contig,1,1,0,NA,NA,1485586
GCF_014156695.1,Streptomyces durbertensis,DSM 104538,Contig,1,1,0,NA,NA,2448886
GCF_018614035.1,Streptomyces sp.,SL-96,Scaffold,1,1,1,193,152,1887
GCF_014076605.1,Streptomyces sp.,GMR22,Contig,1,1,0,NA,NA,1887
GCF_014650395.1,Streptomyces pluricolorescens,JCM 4602,Scaffold,1,1,0,NA,NA,37480
GCF_009865505.1,Streptomyces sp.,SID2119,Contig,1,1,20,75,60,1887
GCF_016612825.1,Streptomyces sp.,MBT49,Contig,1,1,2,22,16,1887
GCF_004195945.1,Streptomyces albidoflavus,CR10,Contig,1,1,32,107,87,1886
GCF_003263925.1,Streptomyces badius,SP6C4,Contig,6,2,9,190,149,1941
GCF_001579685.1,Streptomyces scabiei,96-06,Contig,6,1,15,185,145,1930
GCF_014650835.1,Streptomyces galilaeus,JCM 4757,Scaffold,1,1,0,NA,NA,33899
GCF_008806595.1,Streptomyces sp.,HIT-DPA4,Scaffold,1,1,0,NA,NA,1887
GCF_900460115.1,Streptomyces griseus,NCTC7807,Contig,7,4,7,108,87,1886
GCF_004028635.1,Streptomyces cyaneus,CGMCC 4.1671,Scaffold,1,1,0,NA,NA,1904
GCF_003116675.1,Streptomyces sp.,CS090A,Scaffold,1,1,20,75,60,1887
GCF_000280905.1,Streptomyces sp.,AA1529,Contig,1,1,1,213,167,1887
GCF_014284425.1,Streptomyces buecherae,AC563,Contig,1,1,2,122,100,2763006
GCF_014656095.1,Streptomyces longispororuber,JCM 4784,Scaffold,1,1,0,NA,NA,68230
GCF_014648815.1,Streptomyces flaveolus,JCM 4032,Contig,1,1,0,NA,NA,67297
GCF_009569385.1,Streptomyces kaniharaensis,SF-557,Contig,10,3,0,NA,NA,212423
GCF_000717895.1,Streptomyces sp.,NRRL WC-3744,Contig,1,1,0,NA,NA,1887
GCF_018255875.1,Streptomyces lavendulae,Del-LP,Complete,7,4,6,6,3,1914
GCF_004195955.1,Streptomyces albidoflavus,CR25,Contig,1,1,32,107,87,1886
GCF_003949835.1,Streptomyces sp.,WAC02707,Contig,1,1,10,203,159,1887
GCF_000719345.1,Streptomyces sp.,NRRL F-2664,Contig,1,1,3,200,157,1887
GCF_015475845.1,Streptomyces eurocidicus,NRRL ISP-5604,Scaffold,1,1,2,191,150,66423
GCF_016612625.1,Streptomyces sp.,MBT62,Contig,1,1,1,137,106,1887
GCF_015767875.1,Streptomyces clavuligerus,F1D26,Complete,6,2,26,33,26,1901
GCF_006229535.1,Streptomyces rimosus,WT5260,Complete,7,1,9,229,182,1927
GCF_001905525.1,Streptomyces sp.,TSRI0395,Scaffold,1,1,0,NA,NA,1887
GCF_013345665.1,Streptomyces samsunensis,SA31,Contig,1,1,4,175,137,459658
GCF_004795255.1,Streptomyces sp.,RKND-216,Contig,6,2,0,NA,NA,1887
GCF_014648695.1,Streptomyces albospinus,JCM 3399,Scaffold,1,1,0,NA,NA,285515
GCF_018619555.1,Streptomyces sp.,COG19,Contig,10,7,14,14,9,1887
GCF_001553455.1,Streptomyces hygroscopicus,NBRC 13472,Contig,1,1,5,102,82,1912
GCF_011006355.1,Streptomyces albus,CAS922,Complete,6,6,1,220,174,1888
GCF_001513975.1,Streptomyces curacoi,DSM 40107,Scaffold,1,1,1,99,79,146536
GCF_003208035.1,Streptomyces actuosus,ATCC 25421,Complete,6,3,0,NA,NA,1885
GCF_011820545.1,Streptomyces sp.,DSM 40868,Complete,6,2,0,NA,NA,1887
GCF_900105775.1,Streptomyces sp.,2112.3,Contig,7,3,5,17,11,1887
GCF_017968905.1,Streptomyces sp.,LBUM 1487,Contig,6,4,15,185,145,1887
GCF_900104815.1,Streptomyces misionensis,DSM 40306,Contig,6,3,3,227,180,67331
GCF_001431765.1,Streptomyces sp.,FR-008,Complete,7,3,32,107,87,1887
GCF_009862465.1,Streptomyces sp.,SID4941,Contig,1,1,9,215,169,1887
GCF_001905545.1,Streptomyces sp.,CB02056,Scaffold,1,1,0,NA,NA,1887
GCF_003671755.1,Streptomyces sp.,E5N91,Scaffold,1,1,12,26,19,1887
GCF_002910855.1,Streptomyces sp.,SM12,Scaffold,5,1,2,38,30,1887
GCF_000719625.1,Streptomyces sp.,NRRL B-1322,Contig,1,1,22,1,1,1887
GCF_003610995.1,Streptomyces griseus,ATCC 13273,Complete,6,2,9,80,60,1886
GCF_000404005.1,Streptomyces sp.,FXJ7.023,Contig,1,1,0,NA,NA,1887
GCF_009936315.1,Streptomyces antimycoticus,NBRC 100767,Complete,6,4,2,184,144,68175
GCF_014138855.1,Streptomyces murinus,DSM 41827,Contig,7,1,13,138,107,33900
GCF_002154415.1,Streptomyces angustmyceticus,NRRL B-2347,Scaffold,1,1,5,16,11,285578
GCF_016755855.1,Streptomyces nojiriensis,NBRC 13794,Contig,7,1,12,132,103,66374
GCF_002803195.1,Streptomyces sp.,CB02120-2,Scaffold,1,1,5,5,3,1887
GCF_000739105.1,Streptomyces lividans,TK24,Complete,6,4,14,26,19,1916
GCF_014207445.1,Streptomyces candidus,DSM 40141,Scaffold,1,1,0,NA,NA,67283
GCF_014648875.1,Streptomyces parvus,JCM 4069,Scaffold,1,1,16,11,7,66428
GCF_000721595.1,Streptomyces sp.,NRRL S-325,Contig,1,1,18,74,61,1887
GCF_013414305.1,Streptomyces sp.,Rer75,Complete,6,6,0,NA,NA,1887
GCF_014649215.1,Streptomyces cavourensis,JCM 4298,Scaffold,1,1,13,14,9,1911
GCF_008704535.1,Streptomyces subrutilus,ATCC 27467,Complete,7,2,1,142,111,36818
GCF_900091825.1,Streptomyces sp.,SolWspMP-sol7th,Contig,1,1,3,183,143,1887
GCF_018070205.1,Streptomyces sp.,RM72,Contig,1,1,0,NA,NA,1887
GCF_003945505.1,Streptomyces sp.,WAC 06738,Complete,5,3,1,100,80,1887
GCF_003814875.1,Streptomyces sp.,Ag109_O5-1,Contig,6,2,0,NA,NA,1887
GCF_001543895.1,Streptomyces thermoautotrophicus,UBT1,Contig,3,2,2,228,181,1469144
GCF_018070255.1,Streptomyces sp.,RK62,Scaffold,1,1,0,NA,NA,1887
GCF_001723115.1,Streptomyces griseus,NRRL B-2165,Scaffold,1,1,7,94,75,1886
GCF_014202475.1,Streptomyces paradoxus,DSM 43350,Scaffold,1,1,0,NA,NA,66375
GCF_017352335.1,Streptomyces nodosus,ZJB2016050,Complete,6,2,3,148,117,40318
GCF_001418385.1,Streptomyces alboniger,NRRL B-1832,Scaffold,1,1,1,61,50,132473
GCF_003367645.1,Streptomyces sp.,B2014 011-12,Contig,1,1,20,75,60,1887
GCF_001905845.1,Streptomyces sp.,TSRI0107,Scaffold,1,1,0,NA,NA,1887
GCF_014649875.1,Streptomyces rubiginosohelvolus,JCM 4415,Scaffold,1,1,8,190,149,67362
GCF_000720765.1,Streptomyces sp.,NRRL S-646,Contig,1,1,0,NA,NA,1887
GCF_000226455.1,Streptomyces chartreusis,NRRL 12338,Scaffold,1,1,3,15,10,1969
GCF_014650095.1,Streptomyces nashvillensis,JCM 4498,Scaffold,1,1,0,NA,NA,67334
GCF_000718705.1,Streptomyces lavendulae,NRRL WC-3542,Contig,1,1,22,1,1,1914
GCF_001746425.1,Streptomyces subrutilus,10-1-1,Contig,7,2,7,130,103,36818
GCF_002156055.1,Streptomyces viridochromogenes,NRRL B-24167,Scaffold,1,1,0,NA,NA,1938
GCF_002943895.1,Streptomyces sp.,WAC00288,Complete,6,5,5,27,20,1887
GCF_016654055.1,Streptomyces sp.,MBT55,Contig,1,1,1,188,147,1887
GCF_018619575.1,Streptomyces sp.,CBG30,Contig,5,4,14,14,9,1887
GCF_001044425.1,Streptomyces roseus,ATCC 31245,Scaffold,1,1,0,NA,NA,66430
GCF_006715925.1,Streptomyces sp.,SLBN-134,Contig,6,3,2,234,186,1887
GCF_001418585.1,Streptomyces griseoruber,NRRL B-1818,Scaffold,1,1,1,217,171,1943
GCF_001270495.1,Streptomyces viridochromogenes,NRRL 3413,Contig,1,1,2,48,40,1938
GCF_003205575.1,Streptomyces tateyamensis,ATCC 21389,Scaffold,1,1,0,NA,NA,565073
GCF_001905485.1,Streptomyces sp.,TSRI0261,Scaffold,1,1,20,73,60,1887
GCF_008642275.1,Streptomyces venezuelae,ATCC 21018,Complete,7,2,12,131,103,54571
GCF_009811555.1,Streptomyces caniferus,NBRC 15389,Contig,7,1,2,118,96,285557
GCF_015912395.1,Streptomyces clavuligerus,ATCC 27064,Contig,1,1,26,33,26,1901
GCF_005405965.1,Streptomyces avermitilis,NBRC 14893,Contig,6,2,5,62,51,33903
GCF_900091745.1,Streptomyces sp.,DpondAA-D4,Contig,1,1,9,215,169,1887
GCF_009866455.1,Streptomyces griseus,CGMCC 4.18,Scaffold,1,1,7,94,75,1886
GCF_015912435.1,Streptomyces clavuligerus,NCIMB 14335,Contig,1,1,26,33,26,1901
GCF_003989035.1,Streptomyces sp.,NP10,Contig,1,1,8,190,149,1887
GCF_009865305.1,Streptomyces sp.,SID4919,Scaffold,1,1,2,114,93,1887
GCF_009846825.1,Streptomyces sp.,FR-008,Scaffold,1,1,32,107,87,1887
GCF_013450295.1,Streptomyces sp.,AJS327,Contig,6,1,0,NA,NA,1887
GCF_011055525.1,Streptomyces sp.,196,Contig,1,1,4,216,170,1887
GCF_001279925.1,Streptomyces sp.,H036,Contig,1,1,22,1,1,1887
GCF_016612545.1,Streptomyces sp.,MBT65,Contig,1,1,0,NA,NA,1887
GCF_006715785.1,Streptomyces puniciscabiei,DSM 41929,Contig,6,5,0,NA,NA,164348
GCF_003696235.1,Streptomyces triticirhizae,NEAU-YY642,Scaffold,1,1,0,NA,NA,2483353
GCF_012033735.1,Streptomyces lonarensis,NCL716,Scaffold,1,1,0,NA,NA,700599
GCF_018619535.1,Streptomyces sp.,CYG20,Contig,6,5,14,14,9,1887
GCF_009865425.1,Streptomyces sp.,SID3915,Contig,1,1,2,23,17,1887
GCF_014748265.1,Streptomyces sp.,JV180,Contig,6,2,13,98,78,1887
GCF_013085465.1,Streptomyces cacaoi,H2S5,Complete,6,2,0,NA,NA,1898
GCF_904440635.1,Streptomyces sp.,,Complete,6,2,20,75,60,1887
GCF_009865275.1,Streptomyces sp.,SID4915,Contig,1,1,32,107,87,1887
GCF_001983595.1,Streptomyces sp.,B2014 011-1,Scaffold,1,1,20,75,60,1887
GCF_000720145.1,Streptomyces sp.,NRRL F-2747,Contig,1,1,6,50,42,1887
GCF_014083985.1,Streptomyces sp.,SCUT-3,Complete,7,1,0,NA,NA,1887
GCF_900102245.1,Streptomyces sp.,KS_16,Contig,7,2,5,17,11,1887
GCF_018614445.1,Streptomyces sp.,SL-112,Scaffold,1,1,18,77,60,1887
GCF_001427245.1,Streptomyces sp.,Root55,Scaffold,1,1,3,170,132,1887
GCF_002005225.1,Streptomyces pactum,ACT12,Complete,6,1,0,NA,NA,68249
GCF_001514135.1,Streptomyces avermitilis,DSM 46492,Scaffold,1,1,5,62,51,33903
GCF_006547175.1,Streptomyces ipomoeae,78-51,Scaffold,1,1,2,47,39,103232
GCF_005517195.1,Streptomyces exfoliatus,A1013Y,Complete,6,2,0,NA,NA,1905
GCF_001905825.1,Streptomyces sp.,CB02009,Scaffold,1,1,2,67,56,1887
GCF_009739905.1,Streptomyces ficellus,NRRL 8067,Complete,6,2,0,NA,NA,1977088
GCF_017874515.1,Streptomyces avidinii,DSM 40526,Contig,1,1,0,NA,NA,1895
GCF_000721185.1,Streptomyces griseolus,NRRL B-2925,Contig,1,1,9,215,169,1909
GCF_015680775.2,Streptomyces sp.,BRB081,Scaffold,1,1,7,108,87,1887
GCF_001751375.1,Streptomyces qinglanensis,SCSIO M10379,Scaffold,4,1,1,213,167,943816
GCF_003024195.1,Streptomyces dioscori,A217,Scaffold,1,1,1,209,164,2109333
GCF_004187715.1,Streptomyces sp.,F001,Scaffold,6,3,0,NA,NA,1887
GCF_000403765.2,Streptomyces albulus,CCRC 11814,Contig,1,1,3,21,15,1971
GCF_001513985.1,Streptomyces griseorubiginosus,DSM 40125,Scaffold,1,1,2,25,18,67304
GCF_002910935.1,Streptomyces sp.,B226SN101,Scaffold,7,1,4,112,91,1887
GCF_003950035.1,Streptomyces sp.,W1SF4,Complete,7,1,0,NA,NA,1887
GCF_000349325.1,Streptomyces davaonensis,JCM 4913,Chromosome,6,1,0,NA,NA,348043
GCF_017164735.1,Streptomyces bryophytorum,DSM 42138,Contig,1,1,1,155,123,1436133
GCF_013357965.1,Streptomyces lunaelactis,MM115,Contig,1,1,8,109,88,1535768
GCF_003949795.1,Streptomyces sp.,WAC06614,Contig,1,1,0,NA,NA,1887
GCF_002941025.1,Streptomyces sp.,QL37,Scaffold,6,1,4,181,141,1887
GCF_000240165.1,Streptomyces cattleya,DSM 46488,Complete,6,4,2,65,54,29303
GCF_002551145.1,Streptomyces sp.,115,Contig,1,1,4,112,91,1887
GCF_015912465.1,Streptomyces clavuligerus,BW0220,Contig,1,1,26,33,26,1901
GCF_000816025.1,Streptomyces sp.,769,Complete,7,2,0,NA,NA,1887
GCF_000718675.1,Streptomyces rimosus,NRRL WC-3930,Contig,1,1,1,20,14,1927
GCF_013363735.1,Streptomyces sp.,CAI-155,Contig,1,1,0,NA,NA,1887
GCF_007113445.1,Streptomyces sp.,RLB3-5,Chromosome,6,2,13,233,185,1887
GCF_005490965.1,Streptomyces sp.,SGAir0924,Complete,6,2,10,203,159,1887
GCF_002217715.1,Streptomyces sp.,SS07,Scaffold,5,1,16,10,7,1887
GCF_003352445.1,Streptomyces cavourensis,TJ430,Complete,6,3,14,14,9,1911
GCF_001746475.1,Streptomyces agglomeratus,5-2-6,Contig,7,2,3,7,4,285458
GCF_015244315.1,Streptomyces olivaceus,SCSIO T05,Complete,6,3,3,232,184,47716
GCF_018138705.1,Streptomyces indonesiensis,DSM 41759,Contig,6,3,3,110,89,114700
GCF_009377185.1,Streptomyces spongiae,NBRC 106415,Contig,1,1,0,NA,NA,565072
GCF_014650195.1,Streptomyces umbrinus,JCM 4521,Scaffold,1,1,0,NA,NA,67370
GCF_000299175.2,Streptomyces sp.,SM8,Scaffold,1,1,32,107,87,1887
GCF_001751305.1,Streptomyces nanshensis,SCSIO M10372,Scaffold,2,2,13,14,9,518642
GCF_001865255.1,Streptomyces sp.,CC77,Contig,1,1,0,NA,NA,1887
GCF_001953885.1,Streptomyces sp.,MTB 2501,Scaffold,1,1,0,NA,NA,1887
GCF_018614135.1,Streptomyces sp.,SL-66,Scaffold,1,1,0,NA,NA,1887
GCF_001279885.1,Streptomyces sp.,XY593,Contig,1,1,22,1,1,1887
GCF_004798575.1,Streptomyces sp.,A1499,Contig,1,1,0,NA,NA,1887
GCF_002017835.1,Streptomyces avermitilis,MJM 7007,Contig,6,2,5,62,51,33903
GCF_002920535.1,Streptomyces sp.,Ru71,Contig,1,1,0,NA,NA,1887
GCF_000974985.2,Streptomyces mangrovisoli,MUSC 149,Contig,1,1,0,NA,NA,1428628
GCF_900091315.1,Streptomyces sp.,DI166,Contig,1,1,0,NA,NA,1887
GCF_900236505.1,Streptomyces chartreusis,,Complete,6,1,3,15,10,1969
GCF_002150735.1,Streptomyces africanus,NRRL B-24243,Scaffold,1,1,0,NA,NA,231024
GCF_900290235.1,Streptomyces sp.,,Contig,1,1,0,NA,NA,1887
GCF_013009255.1,Streptomyces sp.,Z423-1,Complete,6,6,0,NA,NA,1887
GCF_014649335.1,Streptomyces roseolilacinus,JCM 4335,Scaffold,1,1,0,NA,NA,66904
GCF_002007685.1,Streptomyces sp.,d1-xmd,Complete,7,2,4,158,124,1887
GCF_003147545.1,Streptomyces globisporus,TFH56,Complete,6,2,9,190,149,1886
GCF_900177255.1,Streptomyces sp.,Amel2xC10,Scaffold,1,1,0,NA,NA,1887
GCF_003947555.1,Streptomyces sp.,WAC 05379,Contig,1,1,0,NA,NA,1887
GCF_000721235.1,Streptomyces olivaceus,NRRL B-3009,Contig,1,1,3,232,184,47716
GCF_000280865.2,Streptomyces auratus,AGR0001,Complete,6,1,4,219,173,114687
GCF_017874495.1,Streptomyces griseochromogenes,DSM 40499,Contig,1,1,1,86,67,68214
GCF_000993785.3,Streptomyces xiamenensis,318,Complete,5,1,1,202,158,408015
GCF_009872565.1,Streptomyces sp.,SID5614,Contig,1,1,16,10,7,1887
GCF_000384175.1,Streptomyces purpureus,KA281,Scaffold,6,2,1,192,151,1951
GCF_904440645.1,Streptomyces sp.,,Complete,6,1,20,75,60,1887
GCF_014646275.1,Streptomyces kronopolitis,CGMCC 4.7323,Scaffold,1,1,0,NA,NA,1612435
GCF_018327685.1,Streptomyces sp.,TS71-3,Contig,6,1,0,NA,NA,1887
GCF_014852655.1,Streptomyces sp.,D-01-6.2a,Scaffold,1,1,2,189,148,1887
GCF_008704495.1,Streptomyces kanamyceticus,ATCC 12853,Complete,6,2,0,NA,NA,1967
GCF_000225525.1,Streptomyces zinciresistens,K42,Contig,1,1,0,NA,NA,700597
GCF_009862105.1,Streptomyces sp.,SID8357,Contig,1,1,1,115,94,1887
GCF_012034935.1,Streptomyces sp.,PLAI1-29,Contig,1,1,0,NA,NA,1887
GCF_014650455.1,Streptomyces xanthochromogenes,JCM 4612,Scaffold,1,1,0,NA,NA,67384
GCF_000696595.1,Streptomyces leeuwenhoekii,C34,Scaffold,1,1,1,44,36,1437453
GCF_001279355.1,Streptomyces sp.,NRRL F-4711,Contig,1,1,2,63,52,1887
GCF_000478605.2,Streptomyces thermolilacinus,SPC6,Contig,6,1,0,NA,NA,285540
GCF_002080455.1,Streptomyces sp.,Sge12,Complete,7,1,12,125,103,1887
GCF_014216335.1,Streptomyces rutgersensis,NBH77,Complete,7,3,7,108,87,53451
GCF_016464295.1,Streptomyces sp.,N35,Scaffold,1,1,0,NA,NA,1887
GCF_009834105.1,Streptomyces sp.,GF20,Complete,7,3,32,107,87,1887
GCF_011170145.1,Streptomyces gougerotii,NBRC 13043,Contig,7,3,16,108,87,53448
GCF_006715635.1,Streptomyces sp.,SLBN-118,Contig,6,2,0,NA,NA,1887
GCF_018069565.1,Streptomyces sp.,RG38,Scaffold,1,1,0,NA,NA,1887
GCF_016612775.1,Streptomyces sp.,MBT98,Scaffold,1,1,1,188,147,1887
GCF_001280005.1,Streptomyces sp.,NRRL WC-3618,Contig,1,1,0,NA,NA,1887
GCF_000719335.1,Streptomyces sp.,NRRL S-87,Contig,1,1,0,NA,NA,1887
GCF_009863285.1,Streptomyces sp.,SID4921,Scaffold,1,1,4,180,141,1887
GCF_000719785.1,Streptomyces sp.,NRRL S-1314,Contig,1,1,1,176,138,1887
GCF_008642295.1,Streptomyces venezuelae,ATCC 21782,Complete,6,2,0,NA,NA,54571
GCF_009862115.1,Streptomyces sp.,SID8359,Scaffold,1,1,4,216,170,1887
GCF_014748315.1,Streptomyces sp.,KD18,Scaffold,2,2,1,144,113,1887
GCF_000800535.1,Streptomyces sp.,M10,Scaffold,1,1,8,119,97,1887
GCF_002188335.1,Streptomyces sp.,CS159,Scaffold,11,1,3,58,47,1887
GCF_002082195.1,Streptomyces gilvosporeus,F607,Complete,6,2,0,NA,NA,553510
GCF_001279725.1,Streptomyces sp.,WM4235,Contig,1,1,0,NA,NA,1887
GCF_015163075.1,Streptomyces sp.,3R004,Contig,1,1,0,NA,NA,1887
GCF_002910775.2,Streptomyces sp.,SM18,Complete,6,2,9,215,169,1887
GCF_000424945.1,Streptomyces sp.,142MFCol3.1,Scaffold,1,1,0,NA,NA,1887
GCF_002335465.1,Streptomyces olivochromogenes,NBRC 3561,Contig,1,1,2,233,185,1963
GCF_014203895.1,Streptomyces sp.,SFB5A,Scaffold,1,1,0,NA,NA,1887
GCF_000719855.1,Streptomyces sp.,NRRL F-4474,Contig,1,1,0,NA,NA,1887
GCF_002028385.1,Streptomyces sp.,3211,Complete,7,2,12,125,103,1887
GCF_900230275.1,Streptomyces sp.,OV198,Contig,6,1,1,177,139,1887
GCF_002891435.1,Streptomyces sp.,13K301,Contig,1,1,0,NA,NA,1887
GCF_001905645.1,Streptomyces sp.,CB02115,Scaffold,1,1,20,73,60,1887
GCF_004196225.1,Streptomyces sp.,SCA2-2,Contig,1,1,0,NA,NA,1887
GCF_014650695.1,Streptomyces avidinii,JCM 4726,Scaffold,1,1,0,NA,NA,1895
GCF_000497445.1,Streptomyces roseochromogenus,DS 12.976,Chromosome,6,1,0,NA,NA,149682
GCF_003814765.1,Streptomyces sp.,TLI_185,Contig,6,1,0,NA,NA,1887
