,run_id,genome1,genome2,unique_taxa_names,coverage,identity,comparision_type_species,comparision_type_genus,cluster_hash,cluster_id
22,1.0,Streptomyces sp. M56 chromosome:3,"Streptomyces solisilvae strain HNM0141 chromosome, complete genome:5",5,0.9273514151,0.9858004764,intra,intra,00026119983f76d435684ef7366e3154,0
23,1.0,"Streptomyces samsunensis strain SA31 1, whole genome shotgun sequence:4","Streptomyces solisilvae strain HNM0141 chromosome, complete genome:5",5,0.9221572677,0.9871987053,intra,intra,00026119983f76d435684ef7366e3154,0
1,2.0,"Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.8697362473,0.9742601634,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
2,2.0,"Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.7870460722,0.9485393015,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
3,2.0,"Streptomyces sp. S063 chromosome, complete genome:9","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.7781953628,0.9408908062,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
4,2.0,"Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.8014625982,0.9468788739,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
5,2.0,"Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.8144397965,0.9489567598,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
6,2.0,"Streptomyces sp. SID8378 SID8378.c1, whole genome shotgun sequence:12","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.7751802185000001,0.9489472294,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
7,2.0,"Streptomyces sp. SID5614 SID5614.c1, whole genome shotgun sequence:13","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.9096423719,0.9748788403,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
8,2.0,"Streptomyces sp. CAI-121 NODE_1003_length_722_cov_724.217, whole genome shotgun sequence:14","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.7855648463,0.9484094897,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
9,2.0,"Streptomyces sp. CAI 127 NODE_100_length_15574_cov_503.418, whole genome shotgun sequence:15","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.7820927082,0.948625625,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
10,2.0,"Streptomyces sp. CAI-68 NODE_10_length_279144_cov_506.951, whole genome shotgun sequence:16","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.7849865912,0.9484700832,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
11,2.0,"Streptomyces parvus strain JCM 4069 sequence01, whole genome shotgun sequence:17","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.7857876723,0.9469478821,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
12,2.0,"Streptomyces sp. MBT67 scaffold100_size20057_cov93.5106, whole genome shotgun sequence:18","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.9238214318,0.9875500486,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
13,2.0,"Streptomyces sp. MBT72 scaffold100_size27005_cov76.8634, whole genome shotgun sequence:19","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.9385135077,0.9876428253,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
14,2.0,"Streptomyces sp. MBT61 scaffold100_size17480_cov91.7517, whole genome shotgun sequence:20","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.9391235417,0.987578339,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
15,2.0,"Streptomyces sp. MBT59 scaffold100_size18955_cov77.6463, whole genome shotgun sequence:21","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.9395077232,0.9874488788,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
16,2.0,"Streptomyces sp. PgraA7, whole genome shotgun sequence:22","Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6",2,0.7751802185000001,0.9489472294,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
17,2.0,"Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.9010184315,0.9742601634,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
19,2.0,"Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.7969082331,0.9475885154,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
20,2.0,"Streptomyces sp. S063 chromosome, complete genome:9","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.7829451338000001,0.9397315846,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
21,2.0,"Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.8038509179000001,0.9459504993,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
22,2.0,"Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.8239895832,0.9477212785,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
23,2.0,"Streptomyces sp. SID8378 SID8378.c1, whole genome shotgun sequence:12","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.7930676583,0.9481046188,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
24,2.0,"Streptomyces sp. SID5614 SID5614.c1, whole genome shotgun sequence:13","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.9582275435,0.9899659369,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
25,2.0,"Streptomyces sp. CAI-121 NODE_1003_length_722_cov_724.217, whole genome shotgun sequence:14","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.7869627583000001,0.9472773215,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
26,2.0,"Streptomyces sp. CAI 127 NODE_100_length_15574_cov_503.418, whole genome shotgun sequence:15","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.7889745469,0.9472304735,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
27,2.0,"Streptomyces sp. CAI-68 NODE_10_length_279144_cov_506.951, whole genome shotgun sequence:16","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.7869494389,0.9472875121,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
28,2.0,"Streptomyces parvus strain JCM 4069 sequence01, whole genome shotgun sequence:17","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.7913105279,0.946107727,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
29,2.0,"Streptomyces sp. MBT67 scaffold100_size20057_cov93.5106, whole genome shotgun sequence:18","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.8809329151,0.9740917349,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
30,2.0,"Streptomyces sp. MBT72 scaffold100_size27005_cov76.8634, whole genome shotgun sequence:19","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.8947296528,0.974056808,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
31,2.0,"Streptomyces sp. MBT61 scaffold100_size17480_cov91.7517, whole genome shotgun sequence:20","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.8956520902,0.9741676914,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
32,2.0,"Streptomyces sp. MBT59 scaffold100_size18955_cov77.6463, whole genome shotgun sequence:21","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.8960112187,0.9739464002,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
33,2.0,"Streptomyces sp. PgraA7, whole genome shotgun sequence:22","Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7",2,0.7930676583,0.9481046188,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
34,2.0,"Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7639418189,0.9485393015,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
35,2.0,"Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7466590567,0.9475885154,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
37,2.0,"Streptomyces sp. S063 chromosome, complete genome:9","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.75731255,0.945420904,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
38,2.0,"Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.8061677295,0.9678405176,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
39,2.0,"Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.8060049936,0.9756042512,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
40,2.0,"Streptomyces sp. SID8378 SID8378.c1, whole genome shotgun sequence:12","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7600503987,0.9757810048,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
41,2.0,"Streptomyces sp. SID5614 SID5614.c1, whole genome shotgun sequence:13","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7853517125,0.9480816405,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
42,2.0,"Streptomyces sp. CAI-121 NODE_1003_length_722_cov_724.217, whole genome shotgun sequence:14","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7720766423000001,0.9701958283,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
43,2.0,"Streptomyces sp. CAI 127 NODE_100_length_15574_cov_503.418, whole genome shotgun sequence:15","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7674306786,0.9704071063,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
44,2.0,"Streptomyces sp. CAI-68 NODE_10_length_279144_cov_506.951, whole genome shotgun sequence:16","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7718408765,0.970268232,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
45,2.0,"Streptomyces parvus strain JCM 4069 sequence01, whole genome shotgun sequence:17","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7853763588,0.9805672166,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
46,2.0,"Streptomyces sp. MBT67 scaffold100_size20057_cov93.5106, whole genome shotgun sequence:18","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7409994045,0.9489312667,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
47,2.0,"Streptomyces sp. MBT72 scaffold100_size27005_cov76.8634, whole genome shotgun sequence:19","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.74942565,0.948773647,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
48,2.0,"Streptomyces sp. MBT61 scaffold100_size17480_cov91.7517, whole genome shotgun sequence:20","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7525541295,0.9489873819,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
49,2.0,"Streptomyces sp. MBT59 scaffold100_size18955_cov77.6463, whole genome shotgun sequence:21","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7516913426,0.9489403391,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
50,2.0,"Streptomyces sp. PgraA7, whole genome shotgun sequence:22","Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8",2,0.7600503987,0.9757810048,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
51,2.0,"Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7793040368,0.9408908062,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
52,2.0,"Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7568390146,0.9397315846,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
53,2.0,"Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7813278642,0.945420904,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
55,2.0,"Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10","Streptomyces sp. S063 chromosome, complete genome:9",2,0.8140262916000001,0.945408299,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
56,2.0,"Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7858478168,0.9436741103,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
57,2.0,"Streptomyces sp. SID8378 SID8378.c1, whole genome shotgun sequence:12","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7445649508000001,0.9436205374,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
58,2.0,"Streptomyces sp. SID5614 SID5614.c1, whole genome shotgun sequence:13","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7921438154,0.9406501089,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
59,2.0,"Streptomyces sp. CAI-121 NODE_1003_length_722_cov_724.217, whole genome shotgun sequence:14","Streptomyces sp. S063 chromosome, complete genome:9",2,0.770269878,0.9463223809,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
60,2.0,"Streptomyces sp. CAI 127 NODE_100_length_15574_cov_503.418, whole genome shotgun sequence:15","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7733519743,0.9460176694,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
61,2.0,"Streptomyces sp. CAI-68 NODE_10_length_279144_cov_506.951, whole genome shotgun sequence:16","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7701956564,0.9463399987,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
62,2.0,"Streptomyces parvus strain JCM 4069 sequence01, whole genome shotgun sequence:17","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7630160389,0.9439443212,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
63,2.0,"Streptomyces sp. MBT67 scaffold100_size20057_cov93.5106, whole genome shotgun sequence:18","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7539480141,0.9412298253,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
64,2.0,"Streptomyces sp. MBT72 scaffold100_size27005_cov76.8634, whole genome shotgun sequence:19","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7637893509,0.9409940951,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
65,2.0,"Streptomyces sp. MBT61 scaffold100_size17480_cov91.7517, whole genome shotgun sequence:20","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7654996842,0.9413698183,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
66,2.0,"Streptomyces sp. MBT59 scaffold100_size18955_cov77.6463, whole genome shotgun sequence:21","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7658861461,0.9412937064,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
67,2.0,"Streptomyces sp. PgraA7, whole genome shotgun sequence:22","Streptomyces sp. S063 chromosome, complete genome:9",2,0.7445649508000001,0.9436205374,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
68,2.0,"Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8195381287,0.9468788739,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
69,2.0,"Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.7934422288,0.9459504993,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
70,2.0,"Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8492805632,0.9678405176,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
71,2.0,"Streptomyces sp. S063 chromosome, complete genome:9","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8312009837000001,0.945408299,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
73,2.0,"Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8469055929,0.9665464599,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
74,2.0,"Streptomyces sp. SID8378 SID8378.c1, whole genome shotgun sequence:12","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8029045359,0.9664446192,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
75,2.0,"Streptomyces sp. SID5614 SID5614.c1, whole genome shotgun sequence:13","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8380313302,0.9468605915,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
76,2.0,"Streptomyces sp. CAI-121 NODE_1003_length_722_cov_724.217, whole genome shotgun sequence:14","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8658264088000001,0.9708450402,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
77,2.0,"Streptomyces sp. CAI 127 NODE_100_length_15574_cov_503.418, whole genome shotgun sequence:15","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8619592297,0.9710276086,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
78,2.0,"Streptomyces sp. CAI-68 NODE_10_length_279144_cov_506.951, whole genome shotgun sequence:16","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8657969004,0.970853821,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
79,2.0,"Streptomyces parvus strain JCM 4069 sequence01, whole genome shotgun sequence:17","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8273480197,0.9666601564,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
80,2.0,"Streptomyces sp. MBT67 scaffold100_size20057_cov93.5106, whole genome shotgun sequence:18","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.7928512957,0.9473457532,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
81,2.0,"Streptomyces sp. MBT72 scaffold100_size27005_cov76.8634, whole genome shotgun sequence:19","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8034997758,0.9472720316,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
82,2.0,"Streptomyces sp. MBT61 scaffold100_size17480_cov91.7517, whole genome shotgun sequence:20","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.805650441,0.9474712946,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
83,2.0,"Streptomyces sp. MBT59 scaffold100_size18955_cov77.6463, whole genome shotgun sequence:21","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8042865645,0.9474933166,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
84,2.0,"Streptomyces sp. PgraA7, whole genome shotgun sequence:22","Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10",2,0.8029045359,0.9664446192,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
85,2.0,"Streptomyces sp. SS07 Scaffold1, whole genome shotgun sequence:6","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8437227194,0.9489567598,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
86,2.0,"Streptomyces sp. gb14 scaffold1.1.size511486, whole genome shotgun sequence:7","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8239794367000001,0.9477212785,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
87,2.0,"Streptomyces sp. CB02613 scaffold1, whole genome shotgun sequence:8","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8602374810000001,0.9756042512,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
88,2.0,"Streptomyces sp. S063 chromosome, complete genome:9","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8129445441,0.9436741103,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
89,2.0,"Streptomyces sp. CS149 scaffold00001, whole genome shotgun sequence:10","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8580050701,0.9665464599,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
91,2.0,"Streptomyces sp. SID8378 SID8378.c1, whole genome shotgun sequence:12","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.9104713093,0.9940405458,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
92,2.0,"Streptomyces sp. SID5614 SID5614.c1, whole genome shotgun sequence:13","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8599611087,0.948362484,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
93,2.0,"Streptomyces sp. CAI-121 NODE_1003_length_722_cov_724.217, whole genome shotgun sequence:14","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8234185852,0.9688252493,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
94,2.0,"Streptomyces sp. CAI 127 NODE_100_length_15574_cov_503.418, whole genome shotgun sequence:15","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8209461050000001,0.9689006281,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
95,2.0,"Streptomyces sp. CAI-68 NODE_10_length_279144_cov_506.951, whole genome shotgun sequence:16","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8234152399,0.9688271758,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
96,2.0,"Streptomyces parvus strain JCM 4069 sequence01, whole genome shotgun sequence:17","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8517198422000001,0.9756949154,intra,intra,00057b9d0c4afe16e2aedf24254903df,0
97,2.0,"Streptomyces sp. MBT67 scaffold100_size20057_cov93.5106, whole genome shotgun sequence:18","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8201317855,0.9491214143,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
98,2.0,"Streptomyces sp. MBT72 scaffold100_size27005_cov76.8634, whole genome shotgun sequence:19","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8318951170000001,0.9490079655,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
99,2.0,"Streptomyces sp. MBT61 scaffold100_size17480_cov91.7517, whole genome shotgun sequence:20","Streptomyces sp. CS147 scaffold00001, whole genome shotgun sequence:11",2,0.8326472181,0.9492847782,inter,intra,00057b9d0c4afe16e2aedf24254903df,0
