cluster_hash,Total_genomes,Cluster_members,NCBI_names,Unique_names_per_cluster
a09f763abbc93d60cc825ed274817d3d,2,"GCF_000177175.2,GCF_009863155.1","['Streptomyces sp.', 'Streptomyces sp.']",1
485817df3afd784789e8c1090d43c412,2,"GCF_000177175.2,GCF_009863155.1","['Streptomyces sp.', 'Streptomyces sp.']",1
83ba89c46f5a0c6c52700cd38b7af8b4,2,"GCF_000177175.2,GCF_009863155.1","['Streptomyces sp.', 'Streptomyces sp.']",1
afdbf6dba86410bc099351ca0a916a66,9,"GCF_000177195.2,GCF_900091715.1,GCF_000721935.1,GCF_009865465.1,GCF_900091875.1,GCF_009862475.1,GCF_900095575.1,GCF_009863165.1,GCF_016612755.1","['Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",1
6c0145baf6207128f44c6e2285b4a57a,3,"GCF_009865425.1,GCF_009865465.1,GCF_000177195.2","['Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",1
29c9fb97bf6995ac159748444ef63666,2,"GCF_009863225.1,GCF_000179195.1","['Streptomyces sp.', 'Streptomyces sp.']",1
bc21c3c275ce9ce750c9159f4b85267d,4,"GCF_900091825.1,GCF_900091755.1,GCF_002288075.1,GCF_000213055.1","['Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",1
b62d61fe1d0cb75a2fb0b507c969db95,2,"GCF_002288075.1,GCF_000213055.1","['Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",1
80bf907ddbcd5ef4fc502c024e0fe1ca,1,GCF_000213055.1,['Streptomyces sp.'],1
fb1072dfddd63351c28381319cbf7f1b,1,GCF_000220705.2,"['Streptomyces xinghaiensis', 'Streptomyces xinghaiensis', 'Streptomyces xinghaiensis', 'Streptomyces xinghaiensis']",1
c400c5e51d9c794e2738baafe2c597ca,3,"GCF_001756925.1,GCF_001190165.1,GCF_000220705.2","['Streptomyces xinghaiensis', 'Streptomyces xinghaiensis', 'Streptomyces fradiae', 'Streptomyces fradiae']",2
a865d4cd712c2b6639989424b5caecaa,1,GCF_000225525.1,['Streptomyces zinciresistens'],1
1a46ffa7eb680a0d3dda48d9aa6369ae,4,"GCF_000226455.1,GCF_900236475.1,GCF_900236505.1,GCF_009862985.1","['Streptomyces chartreusis', 'Streptomyces sp.', 'Streptomyces chartreusis', 'Streptomyces chartreusis', 'Streptomyces chartreusis', 'Streptomyces chartreusis', 'Streptomyces chartreusis', 'Streptomyces chartreusis', 'Streptomyces chartreusis', 'Streptomyces chartreusis', 'Streptomyces chartreusis', 'Streptomyces chartreusis', 'Streptomyces chartreusis', 'Streptomyces chartreusis']",2
45fb8cb782f7859dcea77910d5edd90c,3,"GCF_009862885.1,GCF_000240165.1,GCF_000237305.1","['Streptomyces cattleya', 'Streptomyces cattleya', 'Streptomyces cattleya', 'Streptomyces cattleya', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",2
ec05a3cf43b610670fa7e304c7f5f063,3,"GCF_009862885.1,GCF_000240165.1,GCF_000237305.1","['Streptomyces cattleya', 'Streptomyces cattleya', 'Streptomyces cattleya', 'Streptomyces sp.']",2
3043011e9b2dec6b9dbdc52f319a15b9,2,"GCF_009862885.1,GCF_000237305.1","['Streptomyces cattleya', 'Streptomyces sp.']",2
7d3172a826acb729b40b16fd81b316c7,3,"GCF_009862885.1,GCF_000240165.1,GCF_000237305.1","['Streptomyces cattleya', 'Streptomyces cattleya', 'Streptomyces sp.']",2
d1b8dcbffc5637e44f7041043bc58bea,21,"GCF_001983595.1,GCF_000239075.1,GCF_001905575.1,GCF_008932075.1,GCF_009872615.1,GCF_001905485.1,GCF_002910875.1,GCF_904440645.1,GCF_003116675.1,GCF_019049185.1,GCF_001434355.1,GCF_009865505.1,GCF_000373405.1,GCF_001905645.1,GCF_009865135.1,GCF_003367645.1,GCF_005234185.1,GCF_002158965.1,GCF_014495705.1,GCF_018070745.1,GCF_904440635.1","['Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces anulatus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces lavendulae', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces anulatus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",3
d3c8e9f99912db8a8e794294bd1e7630,1,GCF_000240165.1,"['Streptomyces cattleya', 'Streptomyces cattleya']",1
62cce204e644b11a75071f9b48002636,4,"GCF_000340845.1,GCF_001514055.1,GCF_000245355.1,GCF_001447075.1","['Streptomyces hygroscopicus', 'Streptomyces hygroscopicus', 'Streptomyces hygroscopicus', 'Streptomyces hygroscopicus', 'Streptomyces corchorusii']",2
e9fa69a2c88c5e2912d69bb70f7c06f0,2,"GCF_000340845.1,GCF_000245355.1","['Streptomyces hygroscopicus', 'Streptomyces hygroscopicus']",1
37c15ef9c978b10606288ca8c841d81c,2,"GCF_000340845.1,GCF_000245355.1","['Streptomyces hygroscopicus', 'Streptomyces hygroscopicus', 'Streptomyces hygroscopicus', 'Streptomyces hygroscopicus', 'Streptomyces hygroscopicus', 'Streptomyces hygroscopicus', 'Streptomyces hygroscopicus', 'Streptomyces hygroscopicus']",1
53466105261926502eca5d73e75d26b0,9,"GCF_014649875.1,GCF_000932225.2,GCF_003263925.1,GCF_003263885.1,GCF_003989035.1,GCF_003353555.1,GCF_003147545.1,GCF_002154385.1,GCF_000261345.2","['Streptomyces globisporus', 'Streptomyces globisporus', 'Streptomyces globisporus', 'Streptomyces globisporus', 'Streptomyces globisporus', 'Streptomyces globisporus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces albovinaceus', 'Streptomyces globisporus', 'Streptomyces globisporus', 'Streptomyces globisporus', 'Streptomyces globisporus', 'Streptomyces badius', 'Streptomyces badius', 'Streptomyces badius', 'Streptomyces badius', 'Streptomyces badius', 'Streptomyces badius', 'Streptomyces badius', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces rubiginosohelvolus']",6
1a92e6ec388357c75bc655c3be115057,1,GCF_000262345.1,['Streptomyces xiaopingdaonensis'],1
e241462c06fdb3a488a621bc0186d552,5,"GCF_900105525.1,GCF_002797835.1,GCF_000280865.2,GCF_900221035.1,GCF_900104865.1","['Streptomyces auratus', 'Streptomyces auratus', 'Streptomyces auratus', 'Streptomyces auratus', 'Streptomyces auratus', 'Streptomyces auratus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",2
b2dccb10abea78141b489460e443c68e,2,"GCF_001751375.1,GCF_000280905.1","['Streptomyces sp.', 'Streptomyces qinglanensis', 'Streptomyces qinglanensis', 'Streptomyces qinglanensis', 'Streptomyces qinglanensis']",2
6c033d9cf0dba8d4dfdd49dce1406c12,4,"GCF_009862825.1,GCF_016919685.1,GCF_003932715.1,GCF_000297155.3","['Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis', 'Streptomyces tsukubensis']",2
4a2141ae4d6099c5f7a5ddf1e856581f,1,GCF_000297635.1,['Streptomyces sp.'],1
4a5e503e9e6d1e4eb2150f313e1f6c96,33,"GCF_000299175.2,GCF_004195965.1,GCF_004195945.1,GCF_009865275.1,GCF_013693715.1,GCF_004196035.1,GCF_002910795.1,GCF_004195995.1,GCF_900091885.1,GCF_009834105.1,GCF_009862345.1,GCF_003687515.1,GCF_900091785.1,GCF_001577385.1,GCF_013371965.1,GCF_004195955.1,GCF_013376795.1,GCF_014281095.1,GCF_013363715.1,GCF_009863175.1,GCF_004195895.1,GCF_004195845.1,GCF_012184365.2,GCF_001704195.1,GCF_000359525.1,GCF_001431765.1,GCF_009846825.1,GCF_019067045.1,GCF_004124335.1,GCF_004195935.1,GCF_002910725.2,GCF_004195755.1,GCF_004195855.1","['Streptomyces sp.', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces sampsonii', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces violascens', 'Streptomyces violascens', 'Streptomyces violascens', 'Streptomyces violascens', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",4
cfc7125ca61355032dc208af40515362,1,GCF_000316095.1,['Streptomyces viridosporus'],1
092957ff78556eb65503e2f4a23282bd,10,"GCF_006229535.1,GCF_008704655.1,GCF_000718715.1,GCF_000717285.1,GCF_000721045.1,GCF_009862935.1,GCF_000331185.2,GCF_000718815.1,GCF_000718295.1,GCF_000707925.2","['Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces capuensis', 'Streptomyces rimosus', 'Streptomyces sp.', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces sp.']",3
84909a31f252be1a6b298bc07824d1d7,2,"GCF_000331185.2,GCF_008704655.1","['Streptomyces rimosus', 'Streptomyces rimosus']",1
dca8431deb42e3ce0493b115d58e0509,3,"GCF_000331185.2,GCF_000707925.2,GCF_008704655.1","['Streptomyces rimosus', 'Streptomyces rimosus', 'Streptomyces rimosus']",1
341585998fa34e81df9fe858dd4a8b57,2,"GCF_000332625.1,GCF_001513975.1","['Streptomyces viridochromogenes', 'Streptomyces curacoi']",2
29a8ea3a0efe428b9c0bd27b75b4e764,2,"GCF_000342125.1,GCF_017916255.1","['Streptomyces mobaraensis', 'Streptomyces mobaraensis', 'Streptomyces mobaraensis', 'Streptomyces mobaraensis', 'Streptomyces mobaraensis', 'Streptomyces mobaraensis', 'Streptomyces mobaraensis', 'Streptomyces mobaraensis']",1
bea6c393b71c4f3f3652ed96c9bcf4f7,1,GCF_000349325.1,"['Streptomyces davaonensis', 'Streptomyces davaonensis', 'Streptomyces davaonensis', 'Streptomyces davaonensis', 'Streptomyces davaonensis', 'Streptomyces davaonensis']",1
edd9643847968dde4d0dadfbb3b62bed,3,"GCF_013693715.1,GCF_000359525.1,GCF_009862345.1","['Streptomyces albidoflavus', 'Streptomyces albidoflavus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces albidoflavus', 'Streptomyces albidoflavus']",2
fc549cfa18c8eaa91c83c471c80a0cbd,19,"GCF_900207595.1,GCF_001189025.1,GCF_004524875.1,GCF_001427565.1,GCF_000935135.2,GCF_009862365.1,GCF_018530825.1,GCF_001434355.1,GCF_001426325.1,GCF_000721595.1,GCF_000364805.1,GCF_018614445.1,GCF_009865135.1,GCF_000720395.1,GCF_002188345.1,GCF_001905595.1,GCF_009862355.1,GCF_018614515.1,GCF_003268965.1","['Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces flavovirens', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces europaeiscabiei', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces anulatus', 'Streptomyces anulatus', 'Streptomyces anulatus', 'Streptomyces anulatus', 'Streptomyces anulatus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces avidinii', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces microflavus']",6
a82840b639b3ff61d1ca25b316cb0164,1,GCF_000367365.1,['Streptomyces prunicolor'],1
e076f476bffe63080b8e4e2d8fd7e118,2,"GCF_000373565.1,GCF_009864845.1","['Streptomyces sp.', 'Streptomyces sp.']",1
28dbd81fc17e8ca1198e86a20b0cd5dc,1,GCF_000373625.1,['Streptomyces sp.'],1
97ff431ce6106d3a8e7c8d437ab63d1a,1,GCF_000376565.1,['Streptomyces hokutonensis'],1
f7f6bc4738272ded9121499528fe2286,1,GCF_000380165.1,['Streptomyces vitaminophilus'],1
63df1fb4fc7c160ce71facaef8ea2e15,2,"GCF_000382745.1,GCF_009862105.1","['Streptomyces sp.', 'Streptomyces sp.']",1
6f25843eabe9ceaf13be9d94e418cf45,6,"GCF_014930365.1,GCF_002155765.1,GCF_000383595.1,GCF_014930405.1,GCF_014930395.1,GCF_014930355.1","['Streptomyces bottropensis', 'Streptomyces bottropensis', 'Streptomyces bottropensis', 'Streptomyces bottropensis', 'Streptomyces bottropensis', 'Streptomyces bottropensis', 'Streptomyces scabiei', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",3
1746d267d29bb13175a0b702766a2fb6,2,"GCF_000384175.1,GCF_014648195.1","['Streptomyces purpureus', 'Streptomyces purpureus', 'Streptomyces purpureus', 'Streptomyces purpureus', 'Streptomyces purpureus', 'Streptomyces purpureus']",1
e47aab3690810cc777f18156830e8b67,1,GCF_000384175.1,['Streptomyces purpureus'],1
609c6ae5c24fb039a18edc3656767f58,10,"GCF_013364315.1,GCF_013167895.1,GCF_003610995.1,GCF_001418625.1,GCF_000935135.2,GCF_016653995.1,GCF_017358145.1,GCF_002242735.1,GCF_013409565.1,GCF_000385945.1","['Streptomyces fulvissimus', 'Streptomyces fulvissimus', 'Streptomyces fulvissimus', 'Streptomyces fulvissimus', 'Streptomyces fulvissimus', 'Streptomyces fulvissimus', 'Streptomyces sp.', 'Streptomyces luridiscabiei', 'Streptomyces sp.', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces fulvorobeus', 'Streptomyces fulvorobeus', 'Streptomyces fulvorobeus', 'Streptomyces fulvissimus', 'Streptomyces fulvissimus', 'Streptomyces fulvissimus', 'Streptomyces fulvissimus', 'Streptomyces fulvissimus', 'Streptomyces fulvissimus', 'Streptomyces fulvorobeus', 'Streptomyces fulvorobeus', 'Streptomyces fulvorobeus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",5
d8d1576f37d4afc51f2ad16514f66871,1,GCF_000403665.1,['Streptomyces lividans'],1
4c93fa85cd14cc39840ec4b1f42e7b49,13,"GCF_000739105.1,GCF_008124975.1,GCF_013317105.1,GCF_900104935.1,GCF_000972395.1,GCF_000403665.1,GCF_000717845.1,GCF_009862445.1,GCF_008125035.1,GCF_003671755.1,GCF_008931305.1,GCF_003387455.1,GCF_003013745.1","['Streptomyces lividans', 'Streptomyces violaceoruber', 'Streptomyces lividans', 'Streptomyces lividans', 'Streptomyces lividans', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces coelicolor', 'Streptomyces coelicolor', 'Streptomyces coelicolor', 'Streptomyces coelicolor', 'Streptomyces coelicolor', 'Streptomyces coelicolor', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces coelicolor', 'Streptomyces coelicolor', 'Streptomyces coelicolor', 'Streptomyces coelicolor', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",4
c0d5a80ff309fb0b9a0730b3cc0d5832,1,GCF_000403665.1,['Streptomyces lividans'],1
